model,chain,stage,accept_rate
M1,1,0,0.5328
M1,1,1,0.2378
M1,1,2,0.2074
M1,1,3,0.1312
M1,1,4,0.0758
M1,1,5,0.1272
M1,1,6,0.0586
M1,1,7,0.0394
M1,1,8,0.0488
M1,1,9,0.037
M1,1,10,0.0546
M1,1,11,0.0424
M1,1,12,0.054
M1,1,13,0.0502
M1,1,14,0.0456
M1,1,15,0.0656
M1,1,16,0.0568
M1,1,17,0.0618
M1,1,18,0.071
M1,1,19,0.0776
M1,1,20,0.0892
M1,1,21,0.0798
