parameter,true_value,posterior_mean,error,error_percent
a11,0.8,1.4429337210187447,0.6429337210187447,80.36671511729725
a12,2.0,1.5828148180529014,-0.41718518194709864,-20.85925909631197
a22,1.0,1.2700572389793416,0.27005723897934164,27.00572389523359
b1,0.1,1.4567678561486463,1.3567678561486463,1356.7678547918783
b2,0.2,1.4018665418389262,1.2018665418389263,600.9332706189964
a33,1.5,1.6495047989462028,0.14950479894620283,9.966986595749056
a34,1.0,1.4784562802651084,0.47845628026510845,47.845628021726284
a44,2.0,1.0817367039210528,-0.9182632960789472,-45.9131648016517
b3,0.3,1.666602200856748,1.366602200856748,455.5340668004047
b4,0.4,1.45228705371721,1.05228705371721,263.0717633635345
a13,2.0,1.3841033899453672,-0.6158966100546328,-30.7948305011919
a14,1.0,1.384570178765087,0.38457017876508703,38.457017872663
a23,2.0,1.1729707239872158,-0.8270292760127842,-41.351463798571636
a24,1.0,1.445989862232726,0.4459898622327261,44.598986218812705
