Species3,Species4,time
0.21465648768921555,0.19398293387770604,0.0
0.35863217153592375,0.309680162340497,0.1111111111111111
0.4619233777139451,0.350054077040176,0.2222222222222222
0.5067996187234753,0.3757666994584662,0.3333333333333333
0.548355361830179,0.41456699454454365,0.4444444444444444
0.5697482932826337,0.40284571381972195,0.5555555555555556
0.5602256698514075,0.418092613430436,0.6666666666666666
0.5710056098168086,0.3921319584722136,0.7777777777777777
0.5519709904120909,0.3907661842829891,0.8888888888888888
0.5428830282762562,0.396228063104693,1.0
