m1_a11,m1_a12,m1_a22,m1_b1,m1_b2,m2_a33,m2_a34,m2_a44,m2_b3,m2_b4,m3_a13,m3_a14,m3_a23,m3_a24
0.7947278746918998,1.9790808719355284,0.8580288958006459,1.4175918527277427,1.4569017729786344,1.4581581463250297,0.9957048552635982,1.6702264507018318,0.31777975498367284,0.34640643218913275,1.9865415903233812,0.9936901668140353,2.0083870050032,0.9981501546859592
0.808570701716282,1.9790445377408943,0.8776276975834894,1.416852958473806,1.442743061260704,1.568289019858057,1.064227118323298,1.6645635718098932,0.33461035903655917,0.3639559377003023,1.9958326917289388,0.970982357860568,1.9928545997463303,0.9604851177972203
0.8354694570737964,1.980701896926957,0.8679370499801551,1.4051112435592967,1.462669850617531,1.4682650172537206,0.9943334947251102,1.631812029208288,0.31079901801510207,0.3344398934086263,2.0021481560021503,1.0117145288162301,1.9944931525700962,0.9897600304987908
0.7875615147614325,2.1246048790136505,0.8273679888421107,1.5051740240705378,1.5364233639085458,1.5466557637075362,1.012092916013931,1.7165246220465764,0.2914001718277032,0.32053280857872263,2.0082888533820547,1.0322536224694527,2.029446646712619,1.0308426765792857
0.7805961535305636,2.022916127133893,0.8399176757529808,1.4497076894910252,1.483432735742037,1.4124744964481584,1.0550238785721684,1.6024838686221952,0.32646681844979875,0.3407548035351979,1.8550782042752882,0.9755016091053704,1.8830083987300925,0.9956831230492187
0.7879578309539712,2.0258024988314642,0.8300611558407257,1.4615451096102823,1.4750506472614875,1.5141081179619713,0.983836187526704,1.6619818221896372,0.2993386399727646,0.33631781895802976,2.0008793545922074,1.0384380893620402,2.017467440498909,1.022005898377998
0.8219696508248499,2.0618170072419106,0.8714958858406568,1.472847343763519,1.5068774593465109,1.3809187235132454,1.0814212582687839,1.549440872635447,0.30441683540580705,0.34469787957452214,1.8662254655532873,1.0034056448943383,1.906008353635168,1.0031426784217694
0.8078900266318325,2.014327349541591,0.8547623522531704,1.4498680748592445,1.4627689458019209,1.4839717508434946,1.079683776299898,1.6032411479764104,0.29914351241848963,0.32617977863470604,2.0439330843854595,1.0072323692921743,1.999782056236754,1.0033933095774465
0.7872857551095911,1.9844574712507579,0.8472860894601698,1.4078362110703755,1.45727883690972,1.5264212396326748,0.9947555464527807,1.68296246177577,0.2410619156143197,0.2928192917910949,1.9666924906517833,0.9490171144117745,1.9883745095002063,0.9634973368782738
0.8123184183947206,1.9882190090549012,0.8860215494672175,1.419046910607926,1.4492274650000438,1.4687418869261342,0.9768986294392314,1.673979740521046,0.33209470024589705,0.3375376489003615,1.870577796486599,0.945782130713028,1.8476417678552803,0.9692899692058133
0.802329861184353,1.9957039244351562,0.8621872234072488,1.4069810703632764,1.4541278281739318,1.436973742274642,1.0278895218556126,1.5930923436653666,0.3098200789191551,0.34032444311767984,1.9511477193568774,1.0043234908833905,1.9229013694409554,1.011642637485206
