Species1,Species2,Species3,Species4,time
0.02369233289997705,0.021620419846973975,0.01760412881077355,0.02180697802754207,0.0
0.09758122567321197,0.0898385109119275,0.08143481679044728,0.1024493574869295,0.1111111111111111
0.14016702078263577,0.13439293189703272,0.12151655894279961,0.1399237759818762,0.2222222222222222
0.1644968730112924,0.17033895382105899,0.15308548982187933,0.17542848785086837,0.3333333333333333
0.1731011458682216,0.19135233453126654,0.18607125872651112,0.17118757066459486,0.4444444444444444
0.1852090046340455,0.20298279595120183,0.2052285675185905,0.1985133627833353,0.5555555555555556
0.19127548734269562,0.2019072221393265,0.2098661870800435,0.2009756923512967,0.6666666666666666
0.20160135750251146,0.20954365287184598,0.22368383155929097,0.20276746039743013,0.7777777777777777
0.19960423832557844,0.21594321700010777,0.22652182085622183,0.20697883249381802,0.8888888888888888
0.18997196876335093,0.22121459785786493,0.22582124618604432,0.19795144608472948,1.0
