Day,Frac_S.oralis,Frac_A.naeslundii,Frac_Veillonella,Frac_F.nucleatum,Frac_P.gingivalis
1,0.17560975609756102,0.004878048780487807,0.8097560975609758,0.004878048780487807,0.004878048780487807
3,0.7070707070707071,0.08080808080808081,0.20202020202020204,0.005050505050505051,0.005050505050505051
6,0.7425742574257427,0.04950495049504952,0.19801980198019808,0.004950495049504951,0.004950495049504951
10,0.6603773584905662,0.09433962264150947,0.23584905660377367,0.004716981132075473,0.004716981132075473
15,0.3653846153846155,0.24038461538461542,0.3846153846153847,0.004807692307692309,0.004807692307692309
21,0.34653465346534656,0.34653465346534656,0.29702970297029707,0.004950495049504951,0.004950495049504951
