Day,Vol_S.oralis,Vol_A.naeslundii,Vol_Veillonella,Vol_F.nucleatum,Vol_P.gingivalis
1,0.375,0.025,0.05,0.05,0.0025
3,0.1425,0.00075,0.015,0.00075,0.00075
6,0.15000000000000002,0.001,0.05,0.001,0.001
10,0.1925,0.041999999999999996,0.105,0.0017499999999999998,0.0017499999999999998
15,0.13299999999999998,0.10640000000000001,0.1216,0.0019,0.0019
21,0.162,0.09,0.09,0.0018,0.0018
