Day,Vol_S.oralis,Vol_A.naeslundii,Vol_Veillonella,Vol_F.nucleatum,Vol_P.gingivalis
1,0.0756,0.0021,0.34859999999999997,0.0021,0.0021
3,0.21,0.024,0.06,0.0015,0.0015
6,0.255,0.017,0.068,0.0017000000000000001,0.0017000000000000001
10,0.21,0.03,0.075,0.0015,0.0015
15,0.11019999999999999,0.0725,0.11599999999999999,0.00145,0.00145
21,0.098,0.098,0.084,0.0014000000000000002,0.0014000000000000002
