Day,Vol_S.oralis,Vol_A.naeslundii,Vol_Veillonella,Vol_F.nucleatum,Vol_P.gingivalis
1,0.06,0.032,0.24,0.020000000000000004,0.04000000000000001
3,0.006999999999999999,0.017499999999999998,0.217,0.020999999999999998,0.027999999999999997
6,0.0076,0.019000000000000003,0.2356,0.0456,0.08360000000000001
10,0.003,0.003,0.18,0.042,0.084
15,0.006,0.03,0.27,0.12,0.12
21,0.0055000000000000005,0.07700000000000001,0.20900000000000002,0.12100000000000001,0.165
