# Two-scale coupling: micro Hamilton 1D → macro Abaqus eigenstrain
# condition: commensal_static
# L_biofilm: 0.2 mm  (x=0: tooth, x=1: saliva)
# k_alpha: 0.05  (growth-eigenstrain coupling)
# t_end_Tstar: 20.0000
# alpha: simple integral k_alpha*int(phi_total dt)
# alpha_monod: nutrient-limited k_alpha*int(phi_total*c/(k+c) dt) [KEY]
depth_mm,depth_norm,phi_So,phi_An,phi_Vd,phi_Fn,phi_Pg,phi_total,c,DI,alpha,alpha_monod,eps_growth,E_Pa,E_phi_pg,E_virulence
1.37931034e-01,6.89655172e-01,1.66712758e-01,1.66775746e-01,1.66725404e-01,1.66860013e-01,1.66467524e-01,8.33541445e-01,1.72568581e-01,1.91981810e-07,8.38439042e-01,1.23422833e-01,4.11409444e-02,9.99985180e+02,8.37352112e+02,7.88691548e+02
1.44827586e-01,7.24137931e-01,1.66723350e-01,1.66800920e-01,1.66738944e-01,1.66904954e-01,1.66421230e-01,8.33589398e-01,2.12778648e-01,2.91511890e-07,8.38482449e-01,1.47064384e-01,4.90214612e-02,9.99977496e+02,8.37503280e+02,7.88792285e+02
1.51724138e-01,7.58620690e-01,1.66736170e-01,1.66831439e-01,1.66755346e-01,1.66959576e-01,1.66364972e-01,8.33647503e-01,2.61683779e-01,4.40295875e-07,8.38534753e-01,1.73813849e-01,5.79379495e-02,9.99966011e+02,8.37686886e+02,7.88914667e+02
1.58620690e-01,7.93103448e-01,1.66751596e-01,1.66868234e-01,1.66775106e-01,1.67025635e-01,1.66296955e-01,8.33717526e-01,3.20868663e-01,6.60937836e-07,8.38597702e-01,2.03566194e-01,6.78553981e-02,9.99948978e+02,8.37908734e+02,7.89062576e+02
1.65517241e-01,8.27586207e-01,1.66770036e-01,1.66912318e-01,1.66798761e-01,1.67105080e-01,1.66215187e-01,8.33801383e-01,3.92094494e-01,9.85191005e-07,8.38673090e-01,2.36048691e-01,7.86828969e-02,9.99923947e+02,8.38175226e+02,7.89240299e+02
1.72413793e-01,8.62068966e-01,1.66791908e-01,1.66964746e-01,1.66826871e-01,1.67200025e-01,1.66117510e-01,8.33901060e-01,4.77282679e-01,1.45687296e-06,8.38762758e-01,2.70817977e-01,9.02726589e-02,9.99887536e+02,8.38493278e+02,7.89452482e+02
1.79310345e-01,8.96551724e-01,1.66817605e-01,1.67026523e-01,1.66859982e-01,1.67312668e-01,1.66001634e-01,8.34018413e-01,5.78488580e-01,2.13513694e-06,8.38868437e-01,3.07280377e-01,1.02426792e-01,9.99835179e+02,8.38870176e+02,7.89704074e+02
1.86206897e-01,9.31034483e-01,1.66847412e-01,1.67098395e-01,1.66898526e-01,1.67445054e-01,1.65865240e-01,8.34154627e-01,6.97866492e-01,3.09720670e-06,8.38991294e-01,3.44735006e-01,1.14911669e-01,9.99760917e+02,8.39313240e+02,7.90000243e+02
1.93103448e-01,9.65517241e-01,1.66881292e-01,1.67180311e-01,1.66942559e-01,1.67598243e-01,1.65706393e-01,8.34308799e-01,8.37628403e-01,4.43614005e-06,8.39130672e-01,3.82432908e-01,1.27477636e-01,9.99657570e+02,8.39828460e+02,7.90345860e+02
2.00000000e-01,1.00000000e+00,1.66918341e-01,1.67270045e-01,1.66990993e-01,1.67769278e-01,1.65526124e-01,8.34474780e-01,1.00000000e+00,6.22876932e-06,8.39281130e-01,4.19640565e-01,1.39880188e-01,9.99519212e+02,8.40412143e+02,7.90740382e+02
