# Hybrid macro CSV: 0D composition × 1D spatial alpha_monod
# condition: dysbiotic_hobic
# DI_0D:    0.161260  → E_di    = 705.1 Pa
# phi_Pg_0D: 0.093236  → E_phi_pg = 981.2 Pa  (phi_crit=0.25, m=4.0)
# V_0D:     0.130273  → E_vir   = 966.0 Pa  (V_crit=0.3, w_Pg=1.0, w_Fn=0.3)
# alpha_monod(x): from 1D Hamilton + nutrient PDE  [spatial]
# eps_growth = alpha_monod / 3  [isotropic eigenstrain]
depth_mm,depth_norm,phi_So,phi_An,phi_Vd,phi_Fn,phi_Pg,phi_total,c,DI,alpha,alpha_monod,eps_growth,E_di,E_phi_pg,E_virulence
1.17241379e-01,5.86206897e-01,1.66584904e-01,1.66642219e-01,1.66974307e-01,1.66785344e-01,1.66509700e-01,8.33496474e-01,9.09656447e-02,1.61259518e-01,8.38397084e-01,7.01929739e-02,2.33976580e-02,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.24137931e-01,6.20689655e-01,1.66565314e-01,1.66636312e-01,1.67047956e-01,1.66813684e-01,1.66472107e-01,8.33535372e-01,1.12782670e-01,1.61259518e-01,8.38432599e-01,8.51768660e-02,2.83922887e-02,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.31034483e-01,6.55172414e-01,1.66541219e-01,1.66629020e-01,1.67138508e-01,1.66848486e-01,1.66425886e-01,8.33583121e-01,1.39622312e-01,1.61259518e-01,8.38475365e-01,1.02840820e-01,3.42802734e-02,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.37931034e-01,6.89655172e-01,1.66511677e-01,1.66620043e-01,1.67249484e-01,1.66891075e-01,1.66369246e-01,8.33641525e-01,1.72533746e-01,1.61259518e-01,8.38526814e-01,1.23417941e-01,4.11393137e-02,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.44827586e-01,7.24137931e-01,1.66475586e-01,1.66609021e-01,1.67384977e-01,1.66942976e-01,1.66300110e-01,8.33712670e-01,2.12738109e-01,1.61259518e-01,8.38588748e-01,1.47063739e-01,4.90212462e-02,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.51724138e-01,7.58620690e-01,1.66431680e-01,1.66595533e-01,1.67549695e-01,1.67005925e-01,1.66216096e-01,8.33798930e-01,2.61637454e-01,1.61259518e-01,8.38663554e-01,1.73820268e-01,5.79400894e-02,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.58620690e-01,7.93103448e-01,1.66378524e-01,1.66579091e-01,1.67748954e-01,1.67081865e-01,1.66114527e-01,8.33902960e-01,3.20816978e-01,1.61259518e-01,8.38753697e-01,2.03583501e-01,6.78611671e-02,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.65517241e-01,8.27586207e-01,1.66314527e-01,1.66559139e-01,1.67988643e-01,1.67172917e-01,1.65992434e-01,8.34027661e-01,3.92038657e-01,1.61259518e-01,8.38861776e-01,2.36081875e-01,7.86939583e-02,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.72413793e-01,8.62068966e-01,1.66237996e-01,1.66535071e-01,1.68275067e-01,1.67281347e-01,1.65846603e-01,8.34176084e-01,4.77225051e-01,1.61259518e-01,8.38990510e-01,2.70873316e-01,9.02911054e-02,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.79310345e-01,8.96551724e-01,1.66147266e-01,1.66506269e-01,1.68614534e-01,1.67409462e-01,1.65673636e-01,8.34351168e-01,5.78433135e-01,1.61259518e-01,8.39142552e-01,3.07365499e-01,1.02455166e-01,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.86206897e-01,9.31034483e-01,1.66041039e-01,1.66472234e-01,1.69012254e-01,1.67559355e-01,1.65470114e-01,8.34554997e-01,6.97819376e-01,1.61259518e-01,8.39319897e-01,3.44858828e-01,1.14952943e-01,7.05098191e+02,9.81211640e+02,9.66007184e+02
1.93103448e-01,9.65517241e-01,1.65919257e-01,1.66432906e-01,1.69469273e-01,1.67732035e-01,1.65233245e-01,8.34786716e-01,8.37598588e-01,1.61259518e-01,8.39522103e-01,3.82605266e-01,1.27535089e-01,7.05098191e+02,9.81211640e+02,9.66007184e+02
2.00000000e-01,1.00000000e+00,1.65785323e-01,1.66389451e-01,1.69973862e-01,1.67924210e-01,1.64964712e-01,8.35037558e-01,1.00000000e+00,1.61259518e-01,8.39741729e-01,4.19870864e-01,1.39956955e-01,7.05098191e+02,9.81211640e+02,9.66007184e+02
