# Two-scale coupling: micro Hamilton 1D → macro Abaqus eigenstrain
# condition: dysbiotic_hobic
# L_biofilm: 0.2 mm  (x=0: tooth, x=1: saliva)
# k_alpha: 0.05  (growth-eigenstrain coupling)
# t_end_Tstar: 20.0000
# alpha: simple integral k_alpha*int(phi_total dt)
# alpha_monod: nutrient-limited k_alpha*int(phi_total*c/(k+c) dt) [KEY]
depth_mm,depth_norm,phi_So,phi_An,phi_Vd,phi_Fn,phi_Pg,phi_total,c,DI,alpha,alpha_monod,eps_growth,E_Pa
1.37931034e-01,6.89655172e-01,1.66708697e-01,1.66884353e-01,1.66698373e-01,1.66728775e-01,1.66494906e-01,8.33515103e-01,1.72577854e-01,1.71971601e-07,8.38296946e-01,1.23421200e-01,4.11403999e-02,9.99986724e+02
1.44827586e-01,7.24137931e-01,1.66718322e-01,1.66934795e-01,1.66705660e-01,1.66743158e-01,1.66454965e-01,8.33556899e-01,2.12789447e-01,2.61041633e-07,8.38335602e-01,1.47058498e-01,4.90194994e-02,9.99979848e+02
1.51724138e-01,7.58620690e-01,1.66729954e-01,1.66996045e-01,1.66714476e-01,1.66760612e-01,1.66406421e-01,8.33607508e-01,2.61696127e-01,3.94138118e-07,8.38382123e-01,1.73802070e-01,5.79340234e-02,9.99969574e+02
1.58620690e-01,7.93103448e-01,1.66743926e-01,1.67070035e-01,1.66725081e-01,1.66781683e-01,1.66347720e-01,8.33668445e-01,3.20882453e-01,5.91431845e-07,8.38438063e-01,2.03546569e-01,6.78488563e-02,9.99954343e+02
1.65517241e-01,8.27586207e-01,1.66760593e-01,1.67158884e-01,1.66737754e-01,1.66806968e-01,1.66277140e-01,8.33741340e-01,3.92109408e-01,8.81211299e-07,8.38504987e-01,2.36018972e-01,7.86729907e-02,9.99931974e+02
1.72413793e-01,8.62068966e-01,1.66780315e-01,1.67264823e-01,1.66752784e-01,1.66837111e-01,1.66192810e-01,8.33827842e-01,4.77298092e-01,1.30236348e-06,8.38584466e-01,2.70775662e-01,9.02585538e-02,9.99899463e+02
1.79310345e-01,8.96551724e-01,1.66803422e-01,1.67390014e-01,1.66770450e-01,1.66872770e-01,1.66092743e-01,8.33929398e-01,5.78503437e-01,1.90691746e-06,8.38677892e-01,3.07222741e-01,1.02407580e-01,9.99852796e+02
1.86206897e-01,9.31034483e-01,1.66830147e-01,1.67536102e-01,1.66790971e-01,1.66914550e-01,1.65974926e-01,8.34046695e-01,6.97879150e-01,2.76144816e-06,8.38785990e-01,3.44659106e-01,1.14886369e-01,9.99786834e+02
1.93103448e-01,9.65517241e-01,1.66860437e-01,1.67703078e-01,1.66814370e-01,1.66962756e-01,1.65837681e-01,8.34178322e-01,8.37636441e-01,3.94283080e-06,8.38907606e-01,3.82335579e-01,1.27445193e-01,9.99695646e+02
2.00000000e-01,1.00000000e+00,1.66893488e-01,1.67886345e-01,1.66840078e-01,1.67016473e-01,1.65681901e-01,8.34318286e-01,1.00000000e+00,5.50831990e-06,8.39037300e-01,4.19518650e-01,1.39839550e-01,9.99574817e+02
