parameter,true_value,posterior_mean,error,error_percent
a11,0.8,1.6361415094913079,0.8361415094913078,104.51768867334877
a12,2.0,1.5453841943382634,-0.45461580566173665,-22.730790281950295
a22,1.0,1.307552124146045,0.30755212414604505,30.755212411528984
b1,0.1,1.6219817528521845,1.5219817528521844,1521.9817513302025
b2,0.2,1.433170720298055,1.233170720298055,616.5853598407348
a33,1.5,1.324542158441095,-0.17545784155890498,-11.69718943648052
a34,1.0,1.6291551224488154,0.6291551224488154,62.91551223858999
a44,2.0,1.5396678096282483,-0.46033219037175166,-23.016609517436752
b3,0.3,1.4028200994136286,1.1028200994136286,367.6066996820073
b4,0.4,1.2330671330803098,0.8330671330803098,208.26678321801074
a13,2.0,1.3386305262643226,-0.6613694737356774,-33.06847368513045
a14,1.0,1.4906169719761113,0.4906169719761113,49.06169719270496
a23,2.0,1.6092163258460335,-0.39078367415396653,-19.539183706721367
a24,1.0,1.8006305167550891,0.8006305167550891,80.0630516675026
