parameter,true_value,posterior_mean,error,error_percent
a11,0.8,0.7442315165760149,-0.055768483423985105,-6.971060427126755
a12,2.0,1.921787995209724,-0.0782120047902759,-3.9106002393182653
a22,1.0,0.8835920340995108,-0.11640796590048919,-11.640796588884838
b1,0.1,0.10076797513319218,0.0007679751331921697,0.7679751324241946
b2,0.2,0.19255234298533208,-0.00744765701466793,-3.7238285054720506
a33,1.5,1.5665788698508978,0.06657886985089778,4.438591323097279
a34,1.0,0.9981419861947338,-0.0018580138052661788,-0.18580138050803774
a44,2.0,1.9496567657326203,-0.050343234267379744,-2.517161713243129
b3,0.3,0.283212852847104,-0.016787147152895976,-5.595715715766754
b4,0.4,0.39692145788056793,-0.0030785421194320928,-0.7696355296656142
a13,2.0,1.8352353069748633,-0.16476469302513674,-8.238234650844925
a14,1.0,0.9549046396657832,-0.045095360334216794,-4.5095360329707255
a23,2.0,1.8472415141821201,-0.15275848581787987,-7.637924290512097
a24,1.0,1.0114243240013956,0.011424324001395592,1.1424324000253159
