model,chain,stage,beta
M1,1,0,0.0
M1,1,1,0.02
M1,1,2,0.07
M1,1,3,0.12000000000000001
M1,1,4,0.17
M1,1,5,0.22000000000000003
M1,1,6,0.27
M1,1,7,0.3092856949567795
M1,1,8,0.3592856949567795
M1,1,9,0.40928569495677947
M1,1,10,0.45928569495677946
M1,1,11,0.5092856949567794
M1,1,12,0.5592856949567795
M1,1,13,0.6092856949567795
M1,1,14,0.6592856949567796
M1,1,15,0.7092856949567796
M1,1,16,0.7592856949567797
M1,1,17,0.8092856949567797
M1,1,18,0.8592856949567798
M1,1,19,0.9092856949567798
M1,1,20,0.9592856949567798
M1,1,21,0.9999999987866192
M1,1,22,1.0
