model,chain,stage,accept_rate
M1,1,0,0.5356
M1,1,1,0.248
M1,1,2,0.2076
M1,1,3,0.1254
M1,1,4,0.0824
M1,1,5,0.1162
M1,1,6,0.055
M1,1,7,0.0464
M1,1,8,0.0444
M1,1,9,0.0496
M1,1,10,0.0376
M1,1,11,0.0606
M1,1,12,0.0468
M1,1,13,0.0518
M1,1,14,0.0508
M1,1,15,0.056
M1,1,16,0.06
M1,1,17,0.0574
M1,1,18,0.0604
M1,1,19,0.0652
M1,1,20,0.0716
M1,1,21,0.0674
