model,chain,stage,accept_rate
M1,1,0,0.5318
M1,1,1,0.244
M1,1,2,0.1932
M1,1,3,0.1418
M1,1,4,0.0792
M1,1,5,0.1272
M1,1,6,0.0674
M1,1,7,0.0448
M1,1,8,0.0456
M1,1,9,0.0462
M1,1,10,0.0464
M1,1,11,0.056
M1,1,12,0.0438
M1,1,13,0.0632
M1,1,14,0.0534
M1,1,15,0.066
M1,1,16,0.0616
M1,1,17,0.0736
M1,1,18,0.0748
M1,1,19,0.0832
M1,1,20,0.0858
M1,1,21,0.0816
