Temperature_C,paper_sigma,MAP_sigma,mean_sigma,std_sigma,CI_lo_2.5,CI_hi_97.5,n_stages,time_s
4,25,85.4892,254.0326,144.1316,16.5229,489.0156,2,168.7
8,50,359.3152,254.0326,144.1316,16.5229,489.0156,2,85.9
15,50,1.4956,1.4967,0.0339,1.4156,1.5554,6,112.4
20,70,2.5985,2.6182,0.0889,2.4566,2.8080,7,69.0
25,70,5.1715,5.1692,0.2012,4.6964,5.4540,7,43.4
35,110,5.8307,5.8206,0.1735,5.5056,6.1549,7,32.7
37,110,5.2557,5.2390,0.1401,4.9526,5.5064,7,34.0
40,50,2.6049,2.6110,0.1164,2.3476,2.7952,7,63.9
