Species3,Species4
2.576154822846047354e-01,2.858655167548150855e-01
3.416226441467066777e-01,4.227698914089029203e-01
4.065199288673469469e-01,5.664772783742135775e-01
3.534889520939680230e-01,6.170757248407769957e-01
3.001104117856018272e-01,6.792449854151253463e-01
2.258557674770477752e-01,7.488493519731255210e-01
1.390148267018066208e-01,8.410331660631313877e-01
3.067172533514563731e-02,9.465878036128202444e-01
3.147237243106166919e-03,9.699660998471210105e-01
6.582512101430645565e-03,9.693331923976791220e-01
