Task,Time (s)
M1 Stage1,396.917542219162
M1 Stage2,647.5746695995331
M1 Total,1044.4924712181091
M2 Stage1,710.612467288971
M2 Stage2,2458.2945544719696
M2 Total,3168.907546520233
M3 Stage1,230.5124328136444
M3 Stage2,234.65861010551453
M3 Total,465.17136096954346
Validation,3.868504524230957
Overall,4711.056235551834
