# condition=Dysbiotic_Static, snapshot_index=20, t=5.000000e-02
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.00000000e+00,1.42857143e-01,5.71428571e-01,6.94802899e-02,8.52151388e-03,4.04323096e-01,1.71843485e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,6.42857143e-01,7.08205007e-02,1.15975967e-02,4.24716281e-01,1.66747789e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,7.14285714e-01,7.10020567e-02,1.28545238e-02,4.34221612e-01,1.63515714e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,7.85714286e-01,7.07778689e-02,1.29834734e-02,4.31069480e-01,1.64191325e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,8.57142857e-01,7.09320442e-02,1.22645749e-02,4.30694362e-01,1.64692298e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,9.28571429e-01,7.07588312e-02,1.23989820e-02,4.28822401e-01,1.65007311e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,1.00000000e+00,7.10805693e-02,1.45140998e-02,4.39067234e-01,1.61889943e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,0.00000000e+00,7.14848363e-02,1.12120795e-02,4.36947418e-01,1.63600546e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,7.14285714e-02,7.09288241e-02,1.35021188e-02,4.33459884e-01,1.63634114e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,1.42857143e-01,7.11241440e-02,1.41514403e-02,4.39062588e-01,1.61990900e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,2.14285714e-01,6.99767531e-02,1.16903629e-02,4.16418573e-01,1.68044265e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,2.85714286e-01,7.21862074e-02,1.93769221e-02,4.64803744e-01,1.55304703e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,3.57142857e-01,7.02695950e-02,1.24331246e-02,4.24747447e-01,1.65438534e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,4.28571429e-01,7.15052427e-02,1.35552132e-02,4.42809880e-01,1.61480685e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,5.00000000e-01,7.04145879e-02,1.02539223e-02,4.17982797e-01,1.68462885e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,5.71428571e-01,7.14609874e-02,1.57439638e-02,4.45649867e-01,1.60352314e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,6.42857143e-01,7.08364434e-02,1.21239457e-02,4.30550539e-01,1.64525269e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,7.14285714e-01,6.98676038e-02,7.13331507e-03,4.03245296e-01,1.73263283e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,7.85714286e-01,7.13859284e-02,1.39326836e-02,4.41508274e-01,1.61686502e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,8.57142857e-01,7.12606087e-02,1.54695748e-02,4.40511563e-01,1.61767851e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,9.28571429e-01,7.09922490e-02,9.65131008e-03,4.24602594e-01,1.67196927e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,1.00000000e+00,7.02045448e-02,1.18791671e-02,4.18639744e-01,1.67696798e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,0.00000000e+00,7.04002078e-02,9.62979076e-03,4.16042450e-01,1.69214002e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,7.14285714e-02,7.07346356e-02,9.47228244e-03,4.19717956e-01,1.68528972e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,1.42857143e-01,7.05977351e-02,1.16693818e-02,4.26085907e-01,1.65688970e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,2.14285714e-01,7.05293412e-02,1.24877505e-02,4.25679235e-01,1.65686591e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,2.85714286e-01,7.14863206e-02,1.80123598e-02,4.53330213e-01,1.57691498e-01,5.00000000e-02
