# snapshot_index=20, t=5.000000e-02
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.00000000e+00,1.42857143e-01,5.71428571e-01,7.29640302e-02,6.39043405e-03,4.10300849e-01,1.77830561e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,6.42857143e-01,7.47354702e-02,7.98706324e-03,4.30955019e-01,1.73418262e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,7.14285714e-01,7.50385695e-02,9.51626968e-03,4.41004047e-01,1.70153925e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,7.85714286e-01,7.46324764e-02,9.55892345e-03,4.37559704e-01,1.70565241e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,8.57142857e-01,7.48764587e-02,1.01776297e-02,4.37685368e-01,1.71073708e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,9.28571429e-01,7.45795795e-02,9.19392986e-03,4.35259371e-01,1.71345144e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,1.00000000e+00,7.50133286e-02,1.15399553e-02,4.45974657e-01,1.68200877e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,0.00000000e+00,7.58480362e-02,8.84778302e-03,4.44250222e-01,1.70732692e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,7.14285714e-02,7.48346790e-02,9.74543305e-03,4.39922189e-01,1.70108899e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,1.42857143e-01,7.51055656e-02,1.11771963e-02,4.46016331e-01,1.68391963e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,2.14285714e-01,7.35885683e-02,8.00427611e-03,4.22247047e-01,1.74278468e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,2.85714286e-01,7.65662738e-02,1.67586084e-02,4.72743050e-01,1.61961712e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,3.57142857e-01,7.39686315e-02,9.30800928e-03,4.31114950e-01,1.71575195e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,4.28571429e-01,7.57304962e-02,1.03966481e-02,4.49943898e-01,1.68310975e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,5.00000000e-01,7.42018239e-02,8.86985429e-03,4.24794556e-01,1.74676965e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,5.71428571e-01,7.55384990e-02,1.33285593e-02,4.52986706e-01,1.66756547e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,6.42857143e-01,7.48055089e-02,9.98714636e-03,4.37596428e-01,1.70946343e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,7.14285714e-01,7.36016989e-02,4.96990133e-03,4.09377031e-01,1.79789518e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,7.85714286e-01,7.55253089e-02,1.17120577e-02,4.48866602e-01,1.68257804e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,8.57142857e-01,7.52161437e-02,1.09791292e-02,4.46865735e-01,1.68319336e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,9.28571429e-01,7.50541180e-02,7.94897703e-03,4.31599972e-01,1.73897412e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,1.00000000e+00,7.39848796e-02,8.11262010e-03,4.24706833e-01,1.74202235e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,0.00000000e+00,7.42290547e-02,8.62856988e-03,4.22984076e-01,1.75489005e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,7.14285714e-02,7.46246533e-02,6.91023897e-03,4.26142028e-01,1.75116859e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,1.42857143e-01,7.44498043e-02,8.75233863e-03,4.32658080e-01,1.72075382e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,2.14285714e-01,7.42747994e-02,8.88952196e-03,4.31851052e-01,1.71991707e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,2.85714286e-01,7.55068982e-02,1.44021850e-02,4.60456655e-01,1.63982641e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,3.57142857e-01,7.53889325e-02,1.46591188e-02,4.60599207e-01,1.63675776e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,4.28571429e-01,7.56343577e-02,8.32450750e-03,4.40174594e-01,1.71828085e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,5.00000000e-01,7.45009627e-02,8.06729890e-03,4.29070360e-01,1.73633440e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,5.71428571e-01,7.52158440e-02,9.26199691e-03,4.40971285e-01,1.70568576e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,6.42857143e-01,7.45362107e-02,1.11674532e-02,4.39801702e-01,1.69476858e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,7.14285714e-01,7.43814211e-02,6.68849988e-03,4.20545055e-01,1.76869090e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,7.85714286e-01,7.40858012e-02,6.50264752e-03,4.18288840e-01,1.77116371e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,8.57142857e-01,7.56864018e-02,1.03253303e-02,4.43010657e-01,1.70845556e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,9.28571429e-01,7.53208366e-02,8.20728267e-03,4.37564598e-01,1.72136496e-01,5.00000000e-02
0.00000000e+00,2.85714286e-01,1.00000000e+00,7.46093155e-02,8.39621259e-03,4.32598430e-01,1.72467837e-01,5.00000000e-02
