# condition=Dysbiotic_HOBIC, snapshot_index=20, t=5.000000e-02
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.00000000e+00,1.42857143e-01,5.71428571e-01,6.87339461e-02,9.21473750e-03,4.03991088e-01,1.70137283e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,6.42857143e-01,7.00264711e-02,1.19683105e-02,4.24244057e-01,1.65061761e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,7.14285714e-01,7.01865444e-02,1.34927786e-02,4.33800916e-01,1.61794367e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,7.85714286e-01,6.99655126e-02,1.36955402e-02,4.30681070e-01,1.62453187e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,8.57142857e-01,7.01096385e-02,1.33309133e-02,4.30386024e-01,1.62899431e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,9.28571429e-01,6.99471169e-02,1.31608375e-02,4.28449211e-01,1.63256496e-01,5.00000000e-02
0.00000000e+00,1.42857143e-01,1.00000000e+00,7.02416201e-02,1.55723295e-02,4.38745786e-01,1.60096398e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,0.00000000e+00,7.06586585e-02,1.19078743e-02,4.36521142e-01,1.61867666e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,7.14285714e-02,7.01118601e-02,1.41109156e-02,4.33039024e-01,1.61906563e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,1.42857143e-01,7.02868558e-02,1.51537868e-02,4.38725506e-01,1.60206906e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,2.14285714e-01,6.92120488e-02,1.20680825e-02,4.15984322e-01,1.66381388e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,2.85714286e-01,7.12793429e-02,2.08961382e-02,4.64538522e-01,1.53441189e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,3.57142857e-01,6.94772753e-02,1.32109756e-02,4.24396837e-01,1.63708278e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,4.28571429e-01,7.06627283e-02,1.43363637e-02,4.42400360e-01,1.59725748e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,5.00000000e-01,6.96201244e-02,1.13023543e-02,4.17697834e-01,1.66675809e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,5.71428571e-01,7.05997090e-02,1.70484106e-02,4.45370856e-01,1.58518924e-01,5.00000000e-02
0.00000000e+00,2.14285714e-01,6.42857143e-01,7.00208014e-02,1.31298433e-02,4.30229112e-01,1.62752356e-01,5.00000000e-02
