# condition=commensal_static, snapshot_index=100, t=5.000000e-01
x,y,z,phi_pg,di,phi_tot,r_pg,t
0.000000,0.285714,0.142857,0.11242447,0.00020685,0.55183220,0.20372945,0.500000
0.000000,0.285714,0.214286,0.11250055,0.00019964,0.55252482,0.20361176,0.500000
0.000000,0.285714,0.285714,0.11515428,0.00023987,0.56675479,0.20318184,0.500000
0.000000,0.285714,0.357143,0.11485345,0.00023372,0.56464607,0.20340785,0.500000
0.000000,0.285714,0.428571,0.11327784,0.00021885,0.55605434,0.20371721,0.500000
0.000000,0.285714,0.500000,0.11202191,0.00020814,0.54966623,0.20379988,0.500000
0.000000,0.285714,0.571429,0.11304580,0.00020831,0.55462952,0.20382218,0.500000
0.000000,0.285714,0.642857,0.11303083,0.00022288,0.55483140,0.20372105,0.500000
0.000000,0.285714,0.714286,0.11114703,0.00020645,0.54527865,0.20383528,0.500000
0.000000,0.285714,0.785714,0.11102037,0.00020472,0.54476884,0.20379354,0.500000
0.000000,0.285714,0.857143,0.11310612,0.00022361,0.55500543,0.20379282,0.500000
0.000000,0.285714,0.928571,0.11270884,0.00020622,0.55284181,0.20387177,0.500000
0.000000,0.285714,1.000000,0.11232959,0.00020416,0.55115736,0.20380674,0.500000
0.000000,0.357143,0.000000,0.11204710,0.00019170,0.55028322,0.20361715,0.500000
0.000000,0.357143,0.071429,0.11228741,0.00021553,0.55111243,0.20374682,0.500000
0.000000,0.357143,0.142857,0.11304593,0.00022475,0.55523683,0.20359948,0.500000
0.000000,0.357143,0.214286,0.11291406,0.00020941,0.55464657,0.20357841,0.500000
0.000000,0.357143,0.285714,0.11363796,0.00023288,0.55832163,0.20353495,0.500000
0.000000,0.357143,0.357143,0.11197051,0.00019999,0.54959591,0.20373243,0.500000
0.000000,0.357143,0.428571,0.11243941,0.00021508,0.55166383,0.20381871,0.500000
0.000000,0.357143,0.500000,0.11235140,0.00020950,0.55107073,0.20387837,0.500000
0.000000,0.357143,0.571429,0.11172828,0.00020330,0.54835062,0.20375336,0.500000
0.000000,0.357143,0.642857,0.11217091,0.00021684,0.55039677,0.20380009,0.500000
0.000000,0.357143,0.714286,0.11247572,0.00020772,0.55181781,0.20382764,0.500000
0.000000,0.357143,0.785714,0.11022384,0.00019044,0.54078761,0.20382094,0.500000
0.000000,0.357143,0.857143,0.11121677,0.00019403,0.54578672,0.20377332,0.500000
0.000000,0.357143,0.928571,0.11253732,0.00019813,0.55237794,0.20373246,0.500000
0.000000,0.357143,1.000000,0.11351127,0.00021201,0.55736533,0.20365685,0.500000
0.000000,0.428571,0.000000,0.11551204,0.00024188,0.56825446,0.20327520,0.500000
0.000000,0.428571,0.071429,0.11338268,0.00022699,0.55684155,0.20361750,0.500000
0.000000,0.428571,0.142857,0.11028598,0.00018837,0.54161554,0.20362411,0.500000
0.000000,0.428571,0.214286,0.11393804,0.00023122,0.55957816,0.20361416,0.500000
0.000000,0.428571,0.285714,0.11187989,0.00022179,0.54934327,0.20366116,0.500000
0.000000,0.428571,0.357143,0.11099919,0.00020300,0.54452966,0.20384416,0.500000
0.000000,0.428571,0.428571,0.11121915,0.00020719,0.54570519,0.20380811,0.500000
0.000000,0.428571,0.500000,0.11186269,0.00021366,0.54925941,0.20366094,0.500000
0.000000,0.428571,0.571429,0.11254424,0.00021041,0.55233243,0.20376179,0.500000
0.000000,0.428571,0.642857,0.11145047,0.00019930,0.54692030,0.20377827,0.500000
0.000000,0.428571,0.714286,0.11302357,0.00021851,0.55432938,0.20389244,0.500000
