model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
Dysbiotic_HOBIC,1,1,0.0,0.5,0.5,75.00000162687793,75.0,0.696,4.689312380755083,11.154618242336463,0,nan,nan,nan
Dysbiotic_HOBIC,1,2,0.5,0.9999999850988388,0.4999999850988388,93.13451415052755,75.0,0.5053333333333333,4.924402893822108,11.34053043777121,0,nan,nan,nan
Dysbiotic_HOBIC,1,3,0.9999999850988388,1.0,1.4901161193847656e-08,149.99999999999994,75.0,0.5586666666666666,5.893167584757339,11.154618242336463,0,0.0,nan,17.14937077857255
Dysbiotic_HOBIC,2,1,0.0,0.5,0.5,75.00000162662614,75.0,0.6773333333333333,0.19782316506463224,10.873336251825487,0,nan,nan,nan
Dysbiotic_HOBIC,2,2,0.5,0.9999999850988388,0.4999999850988388,105.07000937145999,75.0,0.5506666666666666,3.4194821004160714,10.873336251825487,0,nan,nan,nan
Dysbiotic_HOBIC,2,3,0.9999999850988388,1.0,1.4901161193847656e-08,150.0,75.0,0.54,5.993457516397188,11.054722542580976,0,0.0,nan,25.444742887180496
