condition,cultivation,day,species,median,mean,std,min,max,q1,q3
Commensal,HOBIC,21,A. naeslundii,21,21.333333333333332,14.46227852034388,3.0,44.0,10,31
Commensal,HOBIC,21,V. dispar,24,23.77777777777778,14.949061657657463,4.0,46.0,12,34
Commensal,HOBIC,21,F. nucleatum,6,6.377777777777777,5.359519049732397,0.0,15.0,2,10
Commensal,HOBIC,21,P. gingivalis_20709,5,5.122222222222223,4.384568900638288,0.0,12.0,1,8
Dysbiotic,Static,1,S. oralis,14,14.222222222222221,9.381601379532412,2.0,28.0,7,21
Dysbiotic,Static,1,A. naeslundii,8,8.0,5.933590818383081,0.30000000000000027,17.0,3,12
Dysbiotic,Static,1,V. parvula,61,59.44444444444444,15.400820685203039,34.0,80.0,49,70
Dysbiotic,Static,1,F. nucleatum,8,8.0,5.933590818383081,0.30000000000000027,17.0,3,12
Dysbiotic,Static,1,P. gingivalis_W83,8,8.0,5.933590818383081,0.30000000000000027,17.0,3,12
Dysbiotic,Static,3,S. oralis,11,11.0,7.314882090642337,1.7000000000000002,22.0,5,16
Dysbiotic,Static,3,A. naeslundii,5,5.333333333333333,4.045985664828782,0.20000000000000018,12.0,2,8
Dysbiotic,Static,3,V. parvula,57,56.111111111111114,14.64961129556382,33.0,77.0,46,66
Dysbiotic,Static,3,F. nucleatum,11,11.0,7.314882090642337,1.7000000000000002,22.0,5,16
Dysbiotic,Static,3,P. gingivalis_W83,13,12.555555555555555,8.000486096343007,2.0,24.0,6,18
Dysbiotic,Static,6,S. oralis,7,7.555555555555555,5.765004577429039,0.30000000000000027,16.0,3,12
Dysbiotic,Static,6,A. naeslundii,5,5.333333333333333,4.045985664828782,0.20000000000000018,12.0,2,8
Dysbiotic,Static,6,V. parvula,52,51.111111111111114,16.03562007254821,26.0,74.0,40,62
Dysbiotic,Static,6,F. nucleatum,13,12.555555555555555,8.000486096343007,2.0,24.0,6,18
Dysbiotic,Static,6,P. gingivalis_W83,17,16.88888888888889,10.249322470832455,3.0,32.0,9,24
Dysbiotic,Static,10,S. oralis,5,5.333333333333333,4.045985664828782,0.20000000000000018,12.0,2,8
Dysbiotic,Static,10,A. naeslundii,5,5.333333333333333,4.045985664828782,0.20000000000000018,12.0,2,8
Dysbiotic,Static,10,V. parvula,47,46.111111111111114,15.664964446531984,22.0,68.0,35,57
Dysbiotic,Static,10,F. nucleatum,16,15.444444444444445,9.211285348841267,3.0,28.0,8,22
Dysbiotic,Static,10,P. gingivalis_W83,21,20.333333333333332,11.125196627475848,4.0,36.0,12,28
Dysbiotic,Static,15,S. oralis,4,4.555555555555555,3.3489218829016867,0.5,10.0,2,7
Dysbiotic,Static,15,A. naeslundii,8,8.0,5.933590818383081,0.30000000000000027,17.0,3,12
Dysbiotic,Static,15,V. parvula,42,41.111111111111114,15.664964446531984,17.0,63.0,30,52
Dysbiotic,Static,15,F. nucleatum,18,17.444444444444443,9.917044810717442,3.0,32.0,10,24
Dysbiotic,Static,15,P. gingivalis_W83,22,21.88888888888889,11.997025094210278,5.0,40.0,13,30
Dysbiotic,Static,21,S. oralis,4,4.555555555555555,3.3489218829016867,0.5,10.0,2,7
Dysbiotic,Static,21,A. naeslundii,10,9.88888888888889,7.132223433902721,0.7000000000000002,20.0,4,15
Dysbiotic,Static,21,V. parvula,36,35.111111111111114,13.264279517226372,14.0,54.0,26,44
Dysbiotic,Static,21,F. nucleatum,21,20.333333333333332,11.125196627475848,4.0,36.0,12,28
Dysbiotic,Static,21,P. gingivalis_W83,24,23.77777777777778,11.487577831921072,6.0,40.0,16,32
Dysbiotic,HOBIC,1,S. oralis,3,3.2444444444444445,2.7834830299065554,0.0,8.0,1,5
Dysbiotic,HOBIC,1,A. naeslundii,2,2.111111111111111,1.5940862934957791,0.0,5.0,1,3
Dysbiotic,HOBIC,1,V. parvula,88,86.44444444444444,10.288234920421374,68.0,98.2,80,94
Dysbiotic,HOBIC,1,F. nucleatum,2,2.3555555555555556,2.3016902002176094,0.0,6.0,0,4
Dysbiotic,HOBIC,1,P. gingivalis_W83,1,1.2888888888888888,1.375176756315751,0.0,4.0,0,2
Dysbiotic,HOBIC,3,S. oralis,5,5.333333333333333,4.045985664828782,0.20000000000000018,12.0,2,8
Dysbiotic,HOBIC,3,A. naeslundii,4,4.555555555555555,3.3489218829016867,0.5,10.0,2,7
Dysbiotic,HOBIC,3,V. parvula,78,76.0,15.137949002424337,50.0,94.0,66,87
