a11,a12,a22,b1,b2
1.2259046321383238,1.2214857956632157,0.7335540674963552,2.3894142418834976,1.2619831854916268
1.0192271646178879,0.8762857727852902,0.9259615833339336,1.1908481172159864,1.101462726828982
0.7125504818876813,1.0020933344762888,1.4541189981941023,0.5184548400871427,1.956373098408308
2.9748111452545167,1.9490312908651042,0.9561676052371934,1.9252406328261658,2.339222662337714
2.9748111452545167,1.9490312908651042,0.9561676052371934,1.9252406328261658,2.339222662337714
1.4346575583746048,2.0195543589013445,2.9054570929255585,2.795923987548403,0.131176015857005
2.5452454841132353,0.1801943604992292,0.6064452449325188,0.23748116831839305,1.4345732452042477
1.2259046321383238,1.2214857956632157,0.7335540674963552,2.3894142418834976,1.2619831854916268
0.8420193354771666,1.5648731922262962,0.9279586905200601,2.01906255350322,0.8419679140245522
0.1840504926174381,0.3555755858450347,0.3157127271020041,1.8134096072955666,0.029299235500636178
2.364110245718156,2.838300611397147,2.4766623065850197,1.7622379565130857,1.3391945229755262
1.06496126646653,2.680950387007669,1.5307990554497146,2.600383656900071,0.23427117414098242
0.9848870450557692,2.005993060733706,0.1462162915525349,1.947781171671763,1.3720737983843287
1.166948194159526,2.283181444931481,0.630342054652475,2.414294846387436,1.1759577813571092
2.7940691158095516,1.4131405398748689,0.46346794374722045,2.264415681074969,0.017199090468678513
1.8388177035554554,2.027415806378812,2.3169707883329096,1.1511111642993492,1.569146333384919
1.8110780048481931,1.539987259671589,2.274759930083418,2.4086445837987327,1.2760695661321044
0.8936064631604608,2.1226387873409718,2.7159228496267964,2.798968767364144,0.09164521628240356
1.3588598910612437,1.050581807125277,1.7945781638833518,1.067933695322831,1.7615137128802687
2.561707846281194,0.34857052600470073,0.46624963436619493,0.21999257372874104,0.31018605162222324
1.488708257390917,0.5996609300990355,1.7244244039295273,0.6742861749077664,1.5038395075872408
0.7389102651590609,2.134092328126722,0.43081184373251,2.1125403500863795,1.1411798286981347
2.6461475212490595,1.17627987069535,1.1033919595221198,0.7901419809893004,1.8322860413092288
0.7185028181137183,1.7029742569836879,1.140491996099691,0.278952746241415,2.938800047105251
0.056065465286798954,0.5913805045560975,2.5186432899368993,1.7347317927749195,0.002996621588149395
0.8936064631604608,2.1226387873409718,2.7159228496267964,2.798968767364144,0.09164521628240356
0.583800375676514,1.7015022247538076,0.444483038700608,0.5089404311501491,2.3182246887965277
1.4102049362601643,1.1646524588514633,0.4007562519414416,0.538659379039606,2.0953648742366298
0.583800375676514,1.7015022247538076,0.444483038700608,0.5089404311501491,2.3182246887965277
0.8936064631604608,2.1226387873409718,2.7159228496267964,2.798968767364144,0.09164521628240356
1.9788776332501288,1.4630014138697869,2.186635672165838,1.3935829956584966,0.5184079529201158
2.0472054114867957,1.2723817662848966,2.2126426503797125,0.6995794468156372,2.1702636121837955
0.056065465286798954,0.5913805045560975,2.5186432899368993,1.7347317927749195,0.002996621588149395
1.9886205965455186,2.5106380636581127,1.0637967207473686,0.6910797846189265,2.241424934367532
2.6461475212490595,1.17627987069535,1.1033919595221198,0.7901419809893004,1.8322860413092288
0.2192112089375487,0.08578503445665786,2.338419239772477,0.27300740863709216,0.5201949940775992
0.8936064631604608,2.1226387873409718,2.7159228496267964,2.798968767364144,0.09164521628240356
1.1658127675207195,0.2820902359085522,0.46655824872669593,0.527594916513807,1.190404496560691
1.1363587421735204,1.0729498434734472,2.4885368356436897,2.6282983347925213,0.0679115177474725
0.9848870450557692,2.005993060733706,0.1462162915525349,1.947781171671763,1.3720737983843287
0.9511382413232243,1.4471120712442485,2.615069617833569,1.6040400804758803,0.6751224312539064
1.06496126646653,2.680950387007669,1.5307990554497146,2.600383656900071,0.23427117414098242
0.8936064631604608,2.1226387873409718,2.7159228496267964,2.798968767364144,0.09164521628240356
1.8954522533142297,0.6862942868838441,1.1240944305790614,1.6922802317377148,0.6930953760164628
1.8756437964083115,2.517807112382736,1.2012576327764428,0.7878935001516846,2.24417774168742
0.7185028181137183,1.7029742569836879,1.140491996099691,0.278952746241415,2.938800047105251
0.5340139222787692,2.076032376214469,0.07440115086217908,2.5096804431045165,1.0293520824228248
2.1934875051676936,2.726202788949621,1.2173947391061732,1.5339678155239382,1.3966799877798308
2.0791229148872916,1.4406020138993945,0.12209140169797272,1.523189689079763,1.0072163177172624
1.479403113966618,0.7527913742025838,2.4738211896786177,1.0748802426445572,1.2836457891958253
