Species1,Species2,time
0.25496714153011235,0.29536582307187537,0.0
0.4818501045088176,0.4512504816487134,0.1111111111111111
0.639253896551335,0.5700402072477347,0.2222222222222222
0.7438921587888578,0.6285335049091287,0.3333333333333333
0.7877998112388237,0.6877723957112201,0.4444444444444444
0.8272194153362759,0.7404955431469313,0.5555555555555556
0.8706278848602529,0.7654372830165188,0.6666666666666666
0.8787159202326108,0.79980789100053,0.7777777777777777
0.8767376806306928,0.8027038610722471,0.8888888888888888
0.8935204351581824,0.8084940753843219,1.0
