tmcmc_dir,mutation,n_particles,dynamic_c,c_scale,dt,n_newton,temp_C,sigma_ref_felix,sigma_paper,sigma_MAP,affine_a,affine_b,rmse_mean,mae_mean,r2_mean,logL_map,nll_map,wrmse_mean,pp_coverage_reps_95,pp_coverage_mean_95,pp_ci_width_mean,n_obs,n_pp_samples,plot_8panel
_tmcmc_results_dyncc10_rw4000p,rw,4000,True,10.0,0.0001,6,4,4.25,25.0,4.1773176193237305,4.433611948882781,3.6214817575591125,0.17610130759166195,0.13993395093592165,0.9795546154920008,7.520015662193888,-7.520015662193888,1.7610130759166196,0.5333333333333333,0.5,0.21030007569436576,10,1000,_tmcmc_results_dyncc10_rw4000p/monospecies_8panel_dyncc10.png
_tmcmc_results_dyncc10_rw4000p,rw,4000,True,10.0,0.0001,6,8,10.0,50.0,10.433021545410156,4.203692371442989,3.676946199672852,0.10044359125689163,0.07760187698111665,0.9926619837087685,14.385114734119757,-14.385114734119757,1.0044359125689162,0.75,0.75,0.24967103124628526,8,1000,_tmcmc_results_dyncc10_rw4000p/monospecies_8panel_dyncc10.png
_tmcmc_results_dyncc10_rw4000p,rw,4000,True,10.0,0.0001,6,15,25.0,50.0,24.090667724609375,4.7372349910520875,3.658207900432668,0.14860914834136602,0.11533024857137841,0.9889854636138953,9.586809155653913,-9.586809155653913,1.48609148341366,0.6666666666666666,0.75,0.23362723736732272,8,1000,_tmcmc_results_dyncc10_rw4000p/monospecies_8panel_dyncc10.png
_tmcmc_results_dyncc10_rw4000p,rw,4000,True,10.0,0.0001,6,20,50.0,70.0,39.993629455566406,4.783440743659668,3.662215749638055,0.24091766703431008,0.1891015555923776,0.9747597229847944,-5.395329193218206,5.395329193218206,2.409176670343101,0.4444444444444444,0.3333333333333333,0.22372711224449038,9,1000,_tmcmc_results_dyncc10_rw4000p/monospecies_8panel_dyncc10.png
_tmcmc_results_dyncc10_rw4000p,rw,4000,True,10.0,0.0001,6,25,100.0,70.0,80.04167938232422,4.83013666978713,3.563200177023615,0.14436778646783144,0.12798356703047875,0.9904594541759911,10.123666924922865,-10.123666924922865,1.428572201225962,0.4166666666666667,0.5,0.2352676299714021,8,1000,_tmcmc_results_dyncc10_rw4000p/monospecies_8panel_dyncc10.png
_tmcmc_results_dyncc10_rw4000p,rw,4000,True,10.0,0.0001,6,35,110.0,110.0,86.504150390625,4.962362849041118,3.546556439905406,0.19114659331680278,0.1525478747039479,0.9838948510664725,4.281606775467772,-4.281606775467772,1.911465933168028,0.4444444444444444,0.4444444444444444,0.23371485614282309,9,1000,_tmcmc_results_dyncc10_rw4000p/monospecies_8panel_dyncc10.png
_tmcmc_results_dyncc10_rw4000p,rw,4000,True,10.0,0.0001,6,37,115.0,110.0,71.9683837890625,5.280692909662025,3.4788031575887284,0.29361833352102323,0.23525235373479988,0.9664003314113706,-18.072010763901872,18.072010763901872,2.9361833352102322,0.3333333333333333,0.4444444444444444,0.20945084667406322,9,1000,_tmcmc_results_dyncc10_rw4000p/monospecies_8panel_dyncc10.png
_tmcmc_results_dyncc10_rw4000p,rw,4000,True,10.0,0.0001,6,40,40.0,50.0,37.26380920410156,4.6145499445117695,3.53501900439481,0.21685364736823481,0.1769029202334523,0.9774353877466414,-0.48690125851290844,0.48690125851290844,2.168536473682348,0.4,0.4,0.1964671157713512,10,1000,_tmcmc_results_dyncc10_rw4000p/monospecies_8panel_dyncc10.png
