temp_c,rmse_excel,rmse_calc,abs_diff,n_obs
4,0.08093274826406636,0.08093274826406636,0.0,10
8,0.047625307914855974,0.047625307914855974,0.0,8
15,0.12010622657786663,0.12010622657786661,1.3877787807814457e-17,8
20,0.15799985546234233,0.15799985546234233,0.0,9
25,0.150523062928048,0.150523062928048,0.0,8
35,0.16895886372398436,0.16895886372398436,0.0,9
37,0.2721508859163454,0.2721508859163454,0.0,9
40,0.11495560451820867,0.11495560451820865,2.7755575615628914e-17,10
