day,So,An,Aa,Vp,Fn,Pg
0.25,0.82,0.01,0.09,0.0,0.08,0.0
1.0,0.58,0.04,0.08,0.05,0.25,0.0
3.0,0.28,0.04,0.08,0.15,0.45,0.0
7.0,0.58,0.04,0.08,0.1,0.2,0.0
14.0,0.48,0.04,0.08,0.1,0.15,0.15
21.0,0.22,0.05,0.06,0.1,0.24,0.33
