day,Enterobacteriaceae,Blautia,Barnesiella,unc_Mollicutes,Lachnospiraceae,Akkermansia,Clostridium_difficile,unc_Lachnospiraceae,Coprobacillus,Enterococcus,Other
0.0,0.000081,0.001380,0.424075,0.000613,0.323960,0.000106,0.000000,0.060867,0.001073,0.000035,0.187810
2.0,0.693916,0.000035,0.000128,0.000056,0.000140,0.000147,0.000160,0.000096,0.000018,0.000049,0.305255
3.0,0.906823,0.000036,0.000130,0.000057,0.000141,0.000149,0.001081,0.000097,0.012328,0.001946,0.077211
4.0,0.592005,0.005113,0.000220,0.001461,0.000365,0.013148,0.001461,0.000165,0.000031,0.343667,0.042365
5.0,0.417500,0.015485,0.000359,0.001787,0.001787,0.010125,0.349008,0.000268,0.048242,0.032161,0.123280
6.0,0.730939,0.023278,0.000255,0.000423,0.000277,0.000423,0.070681,0.000191,0.005502,0.008465,0.159566
7.0,0.577075,0.012169,0.000282,0.000123,0.000306,0.000323,0.034166,0.000211,0.353347,0.015913,0.006084
9.0,0.973166,0.016105,0.000154,0.000067,0.000167,0.000176,0.004601,0.000115,0.000021,0.000059,0.005368
12.0,0.789105,0.164128,0.000198,0.010503,0.000215,0.000226,0.030854,0.000148,0.000027,0.001313,0.003283
16.0,0.266284,0.084576,0.000126,0.000055,0.000137,0.000144,0.414724,0.000094,0.000018,0.001465,0.232376
23.0,0.139844,0.109216,0.000127,0.305252,0.000138,0.000211,0.199841,0.000095,0.000018,0.000634,0.244625
