day,Enterobacteriaceae,Blautia,Barnesiella,unc_Mollicutes,Lachnospiraceae,Akkermansia,Clostridium_difficile,unc_Lachnospiraceae,Coprobacillus,Enterococcus,Other
0.0,0.087362,0.180964,0.665074,0.034157,0.003613,0.000249,0.000000,0.000125,0.000186,0.000025,0.028246
2.0,0.974689,0.015660,0.000270,0.001350,0.000077,0.000204,0.000204,0.000103,0.000153,0.001080,0.006210
3.0,0.921264,0.000169,0.000159,0.000265,0.000083,0.000219,0.022829,0.000110,0.049990,0.002601,0.002312
4.0,0.726054,0.017288,0.000148,0.007833,0.000077,0.000270,0.219864,0.000103,0.004592,0.022690,0.001080
5.0,0.793602,0.025874,0.000133,0.017168,0.002660,0.000484,0.128886,0.000967,0.000484,0.009672,0.020071
6.0,0.911389,0.039302,0.000186,0.000339,0.000097,0.000257,0.028120,0.000129,0.000192,0.000339,0.019651
7.0,0.922256,0.073061,0.000189,0.000316,0.000098,0.000261,0.003446,0.000131,0.000196,0.000026,0.000019
9.0,0.775457,0.172755,0.000153,0.000255,0.000079,0.000210,0.043605,0.000106,0.000158,0.005000,0.002222
12.0,0.491527,0.305727,0.000181,0.000302,0.000659,0.001318,0.167688,0.000125,0.000187,0.003953,0.028332
16.0,0.274470,0.330785,0.000106,0.000178,0.000055,0.000147,0.383043,0.000074,0.000110,0.007742,0.003291
23.0,0.464983,0.269382,0.000098,0.000163,0.000051,0.000135,0.258720,0.000068,0.001423,0.003912,0.001067
