day,Enterobacteriaceae,Blautia,Barnesiella,unc_Mollicutes,Lachnospiraceae,Akkermansia,Clostridium_difficile,unc_Lachnospiraceae,Coprobacillus,Enterococcus,Other
0.0,0.000000,0.001133,0.337609,0.001619,0.322547,0.000000,0.000129,0.090999,0.001133,0.000000,0.244831
2.0,0.000000,0.001207,0.431057,0.000689,0.268182,0.000000,0.000172,0.082730,0.000862,0.000000,0.215101
6.0,0.000000,0.002293,0.346220,0.034746,0.290489,0.000000,0.000140,0.086070,0.001235,0.000000,0.238808
13.0,0.000000,0.008098,0.299832,0.008282,0.361673,0.000000,0.000146,0.067548,0.000057,0.000000,0.254363
