day,Enterobacteriaceae,Blautia,Barnesiella,unc_Mollicutes,Lachnospiraceae,Akkermansia,Clostridium_difficile,unc_Lachnospiraceae,Coprobacillus,Enterococcus,Other
0.0,0.002897,0.000192,0.233618,0.000362,0.003622,0.000724,0.000000,0.000170,0.000004,0.000724,0.757686
2.0,0.997412,0.000207,0.000389,0.000364,0.000051,0.000222,0.000000,0.000183,0.000005,0.000779,0.000389
3.0,0.847110,0.000186,0.000273,0.000327,0.000046,0.000199,0.000000,0.000164,0.145389,0.003854,0.002452
4.0,0.075028,0.066248,0.000622,0.000745,0.000104,0.002395,0.000000,0.001596,0.675265,0.035917,0.142080
5.0,0.042266,0.308275,0.000358,0.000429,0.000060,0.645479,0.000000,0.000216,0.000005,0.000155,0.002756
6.0,0.020238,0.409387,0.000329,0.000394,0.000055,0.569184,0.000000,0.000198,0.000005,0.000142,0.000068
7.0,0.240469,0.127876,0.000277,0.000332,0.000046,0.624080,0.000000,0.000167,0.000004,0.000710,0.006038
9.0,0.722814,0.158239,0.000283,0.114233,0.000047,0.000207,0.000000,0.000171,0.000004,0.000364,0.003638
12.0,0.582176,0.390006,0.000489,0.023236,0.000082,0.000357,0.000000,0.000295,0.000007,0.000212,0.003140
16.0,0.084397,0.296173,0.000302,0.420837,0.000050,0.000220,0.000000,0.000182,0.000005,0.000387,0.197447
23.0,0.211873,0.260539,0.000462,0.521084,0.000077,0.000338,0.000000,0.000279,0.000007,0.000593,0.004748
