day,Enterobacteriaceae,Blautia,Barnesiella,unc_Mollicutes,Lachnospiraceae,Akkermansia,Clostridium_difficile,unc_Lachnospiraceae,Coprobacillus,Enterococcus,Other
0.0,0.000219,0.002149,0.321044,0.001881,0.413744,0.002687,0.000000,0.099676,0.001075,0.000094,0.157432
2.0,0.995039,0.000086,0.000328,0.000123,0.000069,0.000089,0.000000,0.000217,0.000167,0.003529,0.000353
3.0,0.989107,0.002776,0.000369,0.000397,0.000078,0.000100,0.000000,0.000244,0.000188,0.002380,0.004363
4.0,0.148264,0.785147,0.000478,0.000180,0.000101,0.000129,0.000000,0.000317,0.001544,0.006693,0.057146
5.0,0.152161,0.342124,0.000450,0.000170,0.000095,0.495265,0.000000,0.000299,0.000229,0.000485,0.008723
6.0,0.008915,0.583120,0.000307,0.000116,0.000065,0.405467,0.000000,0.000203,0.000156,0.000991,0.000660
7.0,0.358291,0.166970,0.000249,0.012576,0.000053,0.444446,0.000000,0.000165,0.000127,0.001070,0.016054
9.0,0.710013,0.167841,0.000374,0.113506,0.000079,0.000101,0.000000,0.000248,0.000190,0.002415,0.005232
12.0,0.558019,0.412615,0.000563,0.018783,0.000119,0.000152,0.000000,0.000373,0.000287,0.000606,0.008482
16.0,0.195837,0.601080,0.000526,0.190735,0.000111,0.000142,0.000000,0.000349,0.000268,0.000199,0.010754
23.0,0.101593,0.167199,0.000656,0.723824,0.000139,0.000177,0.000000,0.000435,0.000334,0.001411,0.004233
