day,Enterobacteriaceae,Blautia,Barnesiella,unc_Mollicutes,Lachnospiraceae,Akkermansia,Clostridium_difficile,unc_Lachnospiraceae,Coprobacillus,Enterococcus,Other
0.0,0.000048,0.001762,0.188580,0.002937,0.446475,0.067266,0.000000,0.066093,0.000294,0.000075,0.226470
2.0,0.991348,0.000046,0.000191,0.000384,0.000131,0.000225,0.000000,0.000086,0.000289,0.002690,0.004611
3.0,0.864265,0.015078,0.000268,0.001077,0.000183,0.107699,0.000000,0.000121,0.003770,0.002154,0.005385
4.0,0.751034,0.000697,0.000348,0.000669,0.000237,0.001395,0.000000,0.000156,0.160389,0.022314,0.062761
5.0,0.124625,0.695403,0.000248,0.000478,0.000170,0.147061,0.000000,0.000112,0.000498,0.004985,0.026420
6.0,0.075758,0.820282,0.000217,0.000418,0.000148,0.098399,0.000000,0.000097,0.000327,0.000435,0.003918
7.0,0.247214,0.206582,0.000186,0.039897,0.000127,0.494445,0.000000,0.000083,0.000280,0.006712,0.004475
9.0,0.663733,0.155610,0.000170,0.164483,0.000116,0.000200,0.000000,0.000076,0.000256,0.000682,0.014674
12.0,0.594757,0.168166,0.000192,0.229882,0.000131,0.000226,0.000000,0.000086,0.000290,0.000098,0.006171
16.0,0.114794,0.165474,0.000248,0.675805,0.000169,0.000291,0.000000,0.000111,0.000373,0.000497,0.042239
23.0,0.191115,0.209311,0.000206,0.558041,0.000141,0.000242,0.000000,0.000093,0.000311,0.000414,0.040126
