day,Enterobacteriaceae,Blautia,Barnesiella,unc_Mollicutes,Lachnospiraceae,Akkermansia,Clostridium_difficile,unc_Lachnospiraceae,Coprobacillus,Enterococcus,Other
0.0,0.000000,0.001082,0.288610,0.001893,0.438191,0.000000,0.000000,0.108201,0.001352,0.000000,0.160671
2.0,0.000000,0.002367,0.381382,0.001578,0.249333,0.000000,0.000000,0.083113,0.005523,0.000000,0.276703
6.0,0.000000,0.001851,0.284060,0.039557,0.293315,0.000000,0.000000,0.110800,0.003007,0.000000,0.267411
13.0,0.000000,0.001766,0.384456,0.000252,0.204843,0.000000,0.000000,0.160952,0.001009,0.000000,0.246722
