x_norm,x_mm,c_final,phi_total_final,alpha_x,eps_growth_x
0.000000000000000000e+00,0.000000000000000000e+00,2.694417467132328298e-02,9.158941304691385898e-01,4.665609579109795090e-03,1.555203193036598435e-03
3.448275862068965469e-02,6.896551724137930939e-03,2.708141470612523277e-02,9.147075083270810314e-01,4.661100302482311386e-03,1.553700100827437201e-03
6.896551724137930939e-02,1.379310344827586188e-02,2.736216678756607165e-02,9.145508445583714341e-01,4.660014866058193560e-03,1.553338288686064448e-03
1.034482758620689641e-01,2.068965517241379282e-02,2.780282822951147745e-02,9.149986014869081474e-01,4.660852356368652520e-03,1.553617452122884246e-03
1.379310344827586188e-01,2.758620689655172376e-02,2.843014867728706208e-02,9.158110511799442133e-01,4.662842588749369077e-03,1.554280862916456287e-03
1.724137931034482873e-01,3.448275862068966163e-02,2.928226267351340464e-02,9.166486602286348928e-01,4.665157778468676311e-03,1.555052592822892031e-03
2.068965517241379282e-01,4.137931034482758563e-02,3.041011269856415053e-02,9.172804024355466490e-01,4.667115669527602088e-03,1.555705223175867435e-03
2.413793103448275690e-01,4.827586206896551657e-02,3.187965604338516279e-02,9.176873394241079618e-01,4.668502949151390885e-03,1.556167649717130367e-03
2.758620689655172376e-01,5.517241379310344751e-02,3.377515335122974194e-02,9.179331880501673258e-01,4.669400676697902340e-03,1.556466892232634186e-03
3.103448275862069061e-01,6.206896551724138539e-02,3.620349734374241069e-02,9.180789554899129179e-01,4.669957547415212740e-03,1.556652515805070913e-03
3.448275862068965747e-01,6.896551724137932327e-02,3.929962595752083815e-02,9.181648921888775350e-01,4.670295337264900558e-03,1.556765112421633519e-03
3.793103448275861878e-01,7.586206896551724033e-02,4.323319628791141844e-02,9.182155595106009649e-01,4.670497817288119143e-03,1.556832605762706453e-03
4.137931034482758563e-01,8.275862068965517127e-02,4.821675961920346420e-02,9.182456277581653170e-01,4.670619067881784381e-03,1.556873022627261460e-03
4.482758620689655249e-01,8.965517241379311608e-02,5.451569573831754889e-02,9.182635111270260886e-01,4.670691525203360221e-03,1.556897175067786668e-03
4.827586206896551380e-01,9.655172413793103314e-02,6.246015800521433070e-02,9.182743599066052198e-01,4.670735374315062964e-03,1.556911791438354321e-03
5.172413793103448620e-01,1.034482758620689780e-01,7.245924439427316177e-02,9.182810435239255886e-01,4.670762078417242495e-03,1.556920692805747498e-03
5.517241379310344751e-01,1.103448275862068950e-01,8.501751713243216324e-02,9.182853817949879760e-01,4.670779121824603260e-03,1.556926373941534348e-03
5.862068965517240882e-01,1.172413793103448260e-01,1.007538312910398054e-01,9.182883442811942132e-01,4.670790043964151081e-03,1.556930014654717099e-03
6.206896551724138122e-01,1.241379310344827708e-01,1.204221650098698110e-01,9.182906399781973761e-01,4.670798072797398628e-03,1.556932690932466209e-03
6.551724137931034253e-01,1.310344827586207017e-01,1.449337598781765268e-01,9.182926204359388445e-01,4.670803877762186133e-03,1.556934625920728711e-03
6.896551724137931494e-01,1.379310344827586465e-01,1.753793661616340205e-01,9.182945013438564841e-01,4.670808419710590319e-03,1.556936139903530034e-03
7.241379310344827624e-01,1.448275862068965636e-01,2.130497854703073679e-01,9.182964690694921384e-01,4.670812700858942811e-03,1.556937566952980865e-03
7.586206896551723755e-01,1.517241379310344807e-01,2.594522950600320343e-01,9.182987210555343394e-01,4.670817307844140655e-03,1.556939102614713624e-03
7.931034482758620996e-01,1.586206896551724255e-01,3.163200812640467596e-01,9.183014105769391477e-01,4.670822696145876009e-03,1.556940898715292003e-03
8.275862068965517127e-01,1.655172413793103425e-01,3.856117154066251440e-01,9.183046724917790504e-01,4.670829240994186886e-03,1.556943080331395701e-03
8.620689655172413257e-01,1.724137931034482873e-01,4.694981884823780094e-01,9.183086443021554190e-01,4.670837317091201119e-03,1.556945772363733634e-03
8.965517241379310498e-01,1.793103448275862322e-01,5.703361926705382556e-01,9.183134716098997341e-01,4.670847324033537522e-03,1.556949108011179174e-03
9.310344827586206629e-01,1.862068965517241492e-01,6.906281064793291513e-01,9.183193108603058263e-01,4.670859704484103293e-03,1.556953234828034431e-03
9.655172413793102759e-01,1.931034482758620663e-01,8.329711596666672380e-01,9.183263320165462318e-01,4.670874969458339333e-03,1.556958323152779705e-03
1.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+00,9.183346704466622823e-01,4.670893651061198623e-03,1.556964550353732947e-03
