a13,a14,a23,a24
1.4308039568683792,0.45794147162485316,2.9066850078031976,0.928130758459486
1.4073425885408586,1.4107879026230608,0.9180866274000556,1.2056044712363623
1.5766111047701021,0.6494571667055147,2.5831027430275992,0.9469615899215797
2.527183962900925,1.6164403930225535,1.8904225907764283,2.3308483119516525
0.14105230814959868,0.4131449118748626,0.3322374556264258,1.5824724349978734
1.3072843163501604,2.9294646754763063,2.947947101201975,1.6583285209578256
1.1603394258991626,0.7704369860393572,0.2175735602702833,1.239740736972677
1.5116770585221766,2.2346359920081498,2.5865377002662235,0.8407847971372469
0.1424452896174706,0.22504234965521042,1.3483504088825613,0.7503190281149228
1.9318055867810178,1.900212325785315,1.0940699854132,2.2883228071946284
1.0146065014134074,1.6337485744580333,2.5850449813150878,1.5200188688394705
1.3110139280890647,2.7181215670807326,2.3746365015838196,1.4163494350851153
2.104406212135259,1.2445437596765405,2.5636553466021446,0.598995885162428
2.434713347720092,2.0211113480210177,2.511728424272882,1.2109015233486136
1.0260968958128582,1.7948156796459527,0.2697967015867459,1.1961892550609303
2.7277004140407715,1.6599396581681454,2.6091077779222442,1.0949137901733175
2.6039692275707647,1.7813345743807851,1.933498520040303,2.1876015134789855
1.417668681962428,0.1655475418786927,1.7388559753378783,1.777435693766406
0.5960513737868768,2.5932193976564974,1.4240816979353608,0.3431929503133546
2.701554020499548,2.088385448833926,0.3643279474872103,1.262312045136831
2.701554020499548,2.088385448833926,0.3643279474872103,1.262312045136831
2.036112642742557,1.92474884226987,1.751060037983272,0.5817456845525002
1.4302517516462896,2.735812828814189,2.116947828429806,1.2034996044202178
2.4532748924212084,1.2244270602560154,2.6268550827347603,0.5259600312990447
0.7264863487032861,2.6700052134784205,2.4826950083395216,2.2355904969401723
1.8069361939301531,2.3323176906904,2.0984339030860504,1.9870695677175874
0.7366459718562178,1.1809170164854161,1.230228108127248,0.9841965344735003
2.1044080106472176,2.769775237082108,0.24946917379663647,2.453806695092105
1.6076454110706497,1.3537049324480432,0.7517145858977845,0.662560493388941
1.843824403641129,1.2724395896896796,2.561278673691401,0.653541357353155
2.703103300896536,2.1747796480794697,1.885845793910462,1.7764137129965794
2.6897254827123875,2.578690968756148,0.035264139925461846,2.5761540089855175
1.6774628842911543,2.1475766506640195,1.6817302804424332,1.145975945847391
1.4715166019297548,0.4746546985191026,1.361501785071636,0.3152546641461361
1.2719779604874997,2.6348099486739254,2.2847667614277967,0.8339989216763086
0.6534312768574604,1.5326092464895922,0.5930006933152823,1.1969367408235378
0.34423334336017786,1.9343948842056864,1.8072786320951413,1.4882301297612817
2.4532748924212084,1.2244270602560154,2.6268550827347603,0.5259600312990447
2.195978919952169,2.9056686380969214,1.5035908996624587,2.344675812931903
1.2419039881426968,2.8895323168860867,1.4523862865139496,2.6968258262620965
0.417927026018998,0.8687531430965703,1.9001135060582524,1.8195213829682182
0.44948770981981057,1.4852956440893275,2.8571786510703285,2.9057507608744086
0.4400127527923272,1.485962760557851,0.35694935129382765,0.26261794811931616
2.1508083641617652,1.421633084947549,2.079051685311062,2.0827015489407974
1.541336816618885,2.731422454444848,2.820281624034787,1.9270331284912219
0.8709248763860243,0.2932804382262512,0.8751549984701379,1.9303223765392943
1.9500788914544989,1.3686137829380696,0.8616027298801245,2.5053679498084995
2.9235338567924676,1.9536149577501893,2.9838503680550144,1.2379899032427613
0.8041402939183895,0.9844239900834472,1.6599598816341208,0.42381262673132636
2.1924870449440252,0.7348800427592428,2.9929126531380046,0.9500166275553021
2.4532748924212084,1.2244270602560154,2.6268550827347603,0.5259600312990447
2.9705032685743813,2.3745948834943587,0.04431925185487007,1.8135925104055375
2.345584536379606,2.012656322286582,2.7585672489709556,0.7052848314346097
2.624078201131091,2.701961348725992,2.567796822992689,2.900139577358431
2.44000860694025,0.5585452170396378,2.822808751481662,0.16615300056947363
1.7831251971128645,1.1472209581556696,1.0965267410995834,0.46523736142443606
2.44000860694025,0.5585452170396378,2.822808751481662,0.16615300056947363
0.5895168055215219,0.884473265268974,2.9194865097853793,2.4956535249527896
0.1244969962530339,1.53534336355,1.7073867999687256,2.1145930566584057
2.545347557970279,1.5755891798812476,1.3355949162985024,0.8769689617977425
2.44000860694025,0.5585452170396378,2.822808751481662,0.16615300056947363
2.7740754436282877,0.3067772592674786,2.760231746229243,0.006595147537621665
1.9490611076199191,2.1755551206107717,1.9697363249080984,0.3760677375199178
2.1475038568487426,1.705091021536873,0.3343000014786057,0.1323925028411264
2.1033170451212455,2.1223032282425995,2.038694615550013,2.186487679896115
0.337784998408714,0.36518247530542025,1.5822555563422132,1.9620580060793722
1.6443822221549096,0.7762082813859679,0.5592529730928955,2.5501996758415664
1.9392524326045768,0.8928286880887994,0.07050026499411427,1.554998579863519
2.624078201131091,2.701961348725992,2.567796822992689,2.900139577358431
0.44948770981981057,1.4852956440893275,2.8571786510703285,2.9057507608744086
1.843824403641129,1.2724395896896796,2.561278673691401,0.653541357353155
0.337784998408714,0.36518247530542025,1.5822555563422132,1.9620580060793722
2.273076805433261,2.042882594880642,2.4271492499190024,2.157283540711764
