a11,a12,a22,b1,b2
0.9443952348673097,0.47704517080377223,1.9761197353248277,0.2880179498500317,2.755384636116487
0.2860058737168759,0.89894333157133,0.7303437238837784,1.0766645601032776,2.679700899651585
2.6146891560879166,2.2545709779291214,2.448929747428279,1.7772720283199832,2.3460087363212074
2.6146891560879166,2.2545709779291214,2.448929747428279,1.7772720283199832,2.3460087363212074
2.7732956896731924,2.1269910356938095,2.4428221065848135,0.7529189260308297,1.9021423336317895
1.5822084639514389,2.586199134835108,1.3923803622801656,2.2567752972744444,2.05208781639478
0.43862447482248257,1.8057780114087325,2.5618633796037957,1.9751323791143183,0.7358794099412673
2.310720837855838,0.40838426844098213,2.9568053247319175,0.3637176112809737,2.9469357702967898
0.8218370484158211,1.8967509254087427,2.8013519419227957,2.027369261832375,1.9549379055025398
1.3124483004038303,1.710210386633032,2.5028864977368093,0.6044647442718241,2.0748469855249194
0.2137534654783223,1.4533349090165955,2.0426862023318706,2.342443118727413,2.000987242798449
1.8987156418982905,0.6912253580666436,1.361564483136503,1.0618064255909596,2.278449455359567
0.7077048339871137,2.368663979123032,2.707566563691847,2.4896012023457192,1.8962540241441341
2.564500731074607,0.573760756080992,1.8472514158398483,0.5974179153708401,1.5861457402986765
2.5323598923790334,0.42199666999974006,2.501126743478334,1.6864560001916107,1.789582012595638
0.7506586220815415,1.3591295666192824,2.04987084911628,2.11914838905307,1.9829939750767576
0.012597430403967581,2.071126933857187,2.1880774598158093,1.5854227154757208,0.365363486907902
0.43862447482248257,1.8057780114087325,2.5618633796037957,1.9751323791143183,0.7358794099412673
0.03183960997351937,1.4667403495399567,1.8003322007463547,1.384236337893951,1.624634429266844
0.8298418223208743,1.0072659717625005,0.8833869273877415,2.817008182311664,2.6768652358131617
2.564500731074607,0.573760756080992,1.8472514158398483,0.5974179153708401,1.5861457402986765
0.17154048725631654,2.658458180544161,0.9196478771275466,1.0361824304440197,0.14803379424461344
1.2694564663151857,0.5288790574282767,2.8463177676671814,0.01879234462073596,0.008078816896171515
1.2580857639291296,2.840504365355115,1.3103849528859122,2.1085443193055062,1.2640140593321592
1.0950134457141156,2.4990981262907406,0.400669824581401,0.15309077512883718,0.1777463601855785
2.3819727963929958,1.8101978120050521,1.7485149649297576,1.4433650830727371,1.0317552618903598
2.025539368019413,2.232668220348916,1.8632944300705723,1.6981497411749311,0.641859552008127
