x,y,z,phi_pg,di
0.00000000e+00,0.00000000e+00,0.00000000e+00,7.59331219e-02,9.72677922e-03
0.00000000e+00,0.00000000e+00,7.14285714e-02,7.48969453e-02,1.15316179e-02
0.00000000e+00,0.00000000e+00,1.42857143e-01,7.63115376e-02,1.19495586e-02
0.00000000e+00,0.00000000e+00,2.14285714e-01,7.71641967e-02,1.12667495e-02
0.00000000e+00,0.00000000e+00,2.85714286e-01,7.60565364e-02,8.66412579e-03
0.00000000e+00,0.00000000e+00,3.57142857e-01,7.55247197e-02,1.06410068e-02
0.00000000e+00,0.00000000e+00,4.28571429e-01,7.60979966e-02,1.16289983e-02
0.00000000e+00,0.00000000e+00,5.00000000e-01,7.38586435e-02,1.62654558e-02
0.00000000e+00,0.00000000e+00,5.71428571e-01,7.64491466e-02,9.04993010e-03
0.00000000e+00,0.00000000e+00,6.42857143e-01,7.50399718e-02,9.48719975e-03
0.00000000e+00,0.00000000e+00,7.14285714e-01,7.62382339e-02,1.34094395e-02
0.00000000e+00,0.00000000e+00,7.85714286e-01,7.58128895e-02,1.20857193e-02
0.00000000e+00,0.00000000e+00,8.57142857e-01,7.59420261e-02,9.78082593e-03
0.00000000e+00,0.00000000e+00,9.28571429e-01,7.69290365e-02,1.05439480e-02
0.00000000e+00,0.00000000e+00,1.00000000e+00,7.61486011e-02,1.06668077e-02
0.00000000e+00,7.14285714e-02,0.00000000e+00,7.57929391e-02,7.19515584e-03
0.00000000e+00,7.14285714e-02,7.14285714e-02,7.72688442e-02,8.80025928e-03
0.00000000e+00,7.14285714e-02,1.42857143e-01,7.57519725e-02,7.64731227e-03
0.00000000e+00,7.14285714e-02,2.14285714e-01,7.70594249e-02,1.07548094e-02
0.00000000e+00,7.14285714e-02,2.85714286e-01,7.59448653e-02,1.23982010e-02
0.00000000e+00,7.14285714e-02,3.57142857e-01,7.53741865e-02,1.18301607e-02
0.00000000e+00,7.14285714e-02,4.28571429e-01,7.68262842e-02,8.27119444e-03
0.00000000e+00,7.14285714e-02,5.00000000e-01,7.77139501e-02,1.30805316e-02
0.00000000e+00,7.14285714e-02,5.71428571e-01,7.56862901e-02,7.34429167e-03
0.00000000e+00,7.14285714e-02,6.42857143e-01,7.56385499e-02,8.91178304e-03
0.00000000e+00,7.14285714e-02,7.14285714e-01,7.54955973e-02,1.13215857e-02
0.00000000e+00,7.14285714e-02,7.85714286e-01,7.57731586e-02,1.39274259e-02
0.00000000e+00,7.14285714e-02,8.57142857e-01,7.66101586e-02,1.05361009e-02
0.00000000e+00,7.14285714e-02,9.28571429e-01,7.55140806e-02,1.43674641e-02
0.00000000e+00,7.14285714e-02,1.00000000e+00,7.68540446e-02,9.14477610e-03
0.00000000e+00,1.42857143e-01,0.00000000e+00,7.76464917e-02,1.43101132e-02
0.00000000e+00,1.42857143e-01,7.14285714e-02,7.60214926e-02,1.24486817e-02
0.00000000e+00,1.42857143e-01,1.42857143e-01,7.50901822e-02,1.52498966e-02
0.00000000e+00,1.42857143e-01,2.14285714e-01,7.45906390e-02,1.19037836e-02
0.00000000e+00,1.42857143e-01,2.85714286e-01,7.66438150e-02,1.20524081e-02
0.00000000e+00,1.42857143e-01,3.57142857e-01,7.49502454e-02,1.01582166e-02
0.00000000e+00,1.42857143e-01,4.28571429e-01,7.44046670e-02,6.86813412e-03
0.00000000e+00,1.42857143e-01,5.00000000e-01,7.56696238e-02,9.94454485e-03
0.00000000e+00,1.42857143e-01,5.71428571e-01,7.44685136e-02,7.98590252e-03
0.00000000e+00,1.42857143e-01,6.42857143e-01,7.62620421e-02,1.01024377e-02
0.00000000e+00,1.42857143e-01,7.14285714e-01,7.59692820e-02,1.20645659e-02
0.00000000e+00,1.42857143e-01,7.85714286e-01,7.60728391e-02,1.21331647e-02
0.00000000e+00,1.42857143e-01,8.57142857e-01,7.46916019e-02,1.26896218e-02
0.00000000e+00,1.42857143e-01,9.28571429e-01,7.60804708e-02,1.16465872e-02
0.00000000e+00,1.42857143e-01,1.00000000e+00,7.55138183e-02,1.41224087e-02
0.00000000e+00,2.14285714e-01,0.00000000e+00,7.62041635e-02,1.10455384e-02
0.00000000e+00,2.14285714e-01,7.14285714e-02,7.62780272e-02,1.24804504e-02
0.00000000e+00,2.14285714e-01,1.42857143e-01,7.55808727e-02,1.37118262e-02
0.00000000e+00,2.14285714e-01,2.14285714e-01,7.50849461e-02,1.00326760e-02
0.00000000e+00,2.14285714e-01,2.85714286e-01,7.54374338e-02,2.02623319e-02
0.00000000e+00,2.14285714e-01,3.57142857e-01,7.53883838e-02,1.14831277e-02
0.00000000e+00,2.14285714e-01,4.28571429e-01,7.61450651e-02,1.29642665e-02
0.00000000e+00,2.14285714e-01,5.00000000e-01,7.54191066e-02,1.11978815e-02
0.00000000e+00,2.14285714e-01,5.71428571e-01,7.45287893e-02,1.62890349e-02
0.00000000e+00,2.14285714e-01,6.42857143e-01,7.47903359e-02,1.24531946e-02
0.00000000e+00,2.14285714e-01,7.14285714e-01,7.50697195e-02,6.60190548e-03
0.00000000e+00,2.14285714e-01,7.85714286e-01,7.45109716e-02,1.44911702e-02
0.00000000e+00,2.14285714e-01,8.57142857e-01,7.67377978e-02,1.41228446e-02
0.00000000e+00,2.14285714e-01,9.28571429e-01,7.55581791e-02,1.01539801e-02
0.00000000e+00,2.14285714e-01,1.00000000e+00,7.54390222e-02,1.01748655e-02
0.00000000e+00,2.85714286e-01,0.00000000e+00,7.47385169e-02,1.09534507e-02
0.00000000e+00,2.85714286e-01,7.14285714e-02,7.61759568e-02,8.93056810e-03
0.00000000e+00,2.85714286e-01,1.42857143e-01,7.58475955e-02,1.10470621e-02
0.00000000e+00,2.85714286e-01,2.14285714e-01,7.57827867e-02,1.14817314e-02
0.00000000e+00,2.85714286e-01,2.85714286e-01,7.45584952e-02,1.73151141e-02
0.00000000e+00,2.85714286e-01,3.57142857e-01,7.44550525e-02,1.76416181e-02
0.00000000e+00,2.85714286e-01,4.28571429e-01,7.73606038e-02,1.05431303e-02
0.00000000e+00,2.85714286e-01,5.00000000e-01,7.59539381e-02,1.01689044e-02
0.00000000e+00,2.85714286e-01,5.71428571e-01,7.66837339e-02,1.19123812e-02
0.00000000e+00,2.85714286e-01,6.42857143e-01,7.47204376e-02,1.36755651e-02
0.00000000e+00,2.85714286e-01,7.14285714e-01,7.59059049e-02,8.66100482e-03
0.00000000e+00,2.85714286e-01,7.85714286e-01,7.56902288e-02,8.39633404e-03
0.00000000e+00,2.85714286e-01,8.57142857e-01,7.45325528e-02,1.30480221e-02
0.00000000e+00,2.85714286e-01,9.28571429e-01,7.67640851e-02,1.04899128e-02
0.00000000e+00,2.85714286e-01,1.00000000e+00,7.59964937e-02,1.06405042e-02
0.00000000e+00,3.57142857e-01,0.00000000e+00,7.61313066e-02,9.53238157e-03
0.00000000e+00,3.57142857e-01,7.14285714e-02,7.58638512e-02,1.20130033e-02
0.00000000e+00,3.57142857e-01,1.42857143e-01,7.42926732e-02,1.62501949e-02
0.00000000e+00,3.57142857e-01,2.14285714e-01,7.54699709e-02,1.25881684e-02
0.00000000e+00,3.57142857e-01,2.85714286e-01,7.57150473e-02,1.48043999e-02
0.00000000e+00,3.57142857e-01,3.57142857e-01,7.57728578e-02,1.01282507e-02
0.00000000e+00,3.57142857e-01,4.28571429e-01,7.54219796e-02,1.09267893e-02
0.00000000e+00,3.57142857e-01,5.00000000e-01,7.71278283e-02,8.42764993e-03
0.00000000e+00,3.57142857e-01,5.71428571e-01,7.56390770e-02,9.80827335e-03
0.00000000e+00,3.57142857e-01,6.42857143e-01,7.51663120e-02,1.19126216e-02
0.00000000e+00,3.57142857e-01,7.14285714e-01,7.58740717e-02,1.15290560e-02
0.00000000e+00,3.57142857e-01,7.85714286e-01,7.50839893e-02,6.86641585e-03
0.00000000e+00,3.57142857e-01,8.57142857e-01,7.56195756e-02,8.52972080e-03
0.00000000e+00,3.57142857e-01,9.28571429e-01,7.68874813e-02,9.47681892e-03
0.00000000e+00,3.57142857e-01,1.00000000e+00,7.56586389e-02,1.27625836e-02
0.00000000e+00,4.28571429e-01,0.00000000e+00,7.50080560e-02,1.75917695e-02
0.00000000e+00,4.28571429e-01,7.14285714e-02,7.52220539e-02,1.44289110e-02
0.00000000e+00,4.28571429e-01,1.42857143e-01,7.50662126e-02,6.40367911e-03
0.00000000e+00,4.28571429e-01,2.14285714e-01,7.44518433e-02,1.50746783e-02
0.00000000e+00,4.28571429e-01,2.85714286e-01,7.48077454e-02,1.25676985e-02
0.00000000e+00,4.28571429e-01,3.57142857e-01,7.66777731e-02,6.24601645e-03
0.00000000e+00,4.28571429e-01,4.28571429e-01,7.58178452e-02,8.97246885e-03
0.00000000e+00,4.28571429e-01,5.00000000e-01,7.49647432e-02,1.28938142e-02
0.00000000e+00,4.28571429e-01,5.71428571e-01,7.54458614e-02,1.33755070e-02
0.00000000e+00,4.28571429e-01,6.42857143e-01,7.63287448e-02,7.34592481e-03
0.00000000e+00,4.28571429e-01,7.14285714e-01,7.60675665e-02,1.19677296e-02
0.00000000e+00,4.28571429e-01,7.85714286e-01,7.71109750e-02,1.06289069e-02
0.00000000e+00,4.28571429e-01,8.57142857e-01,7.55708775e-02,9.35799852e-03
0.00000000e+00,4.28571429e-01,9.28571429e-01,7.55234282e-02,1.45067739e-02
0.00000000e+00,4.28571429e-01,1.00000000e+00,7.58713668e-02,9.79233231e-03
0.00000000e+00,5.00000000e-01,0.00000000e+00,7.67156099e-02,9.47055388e-03
0.00000000e+00,5.00000000e-01,7.14285714e-02,7.54104069e-02,1.25100177e-02
0.00000000e+00,5.00000000e-01,1.42857143e-01,7.51141753e-02,1.35921025e-02
0.00000000e+00,5.00000000e-01,2.14285714e-01,7.57507186e-02,1.59230961e-02
0.00000000e+00,5.00000000e-01,2.85714286e-01,7.47769359e-02,1.26472647e-02
0.00000000e+00,5.00000000e-01,3.57142857e-01,7.54776198e-02,1.42668548e-02
0.00000000e+00,5.00000000e-01,4.28571429e-01,7.61171935e-02,1.33730973e-02
0.00000000e+00,5.00000000e-01,5.00000000e-01,7.52177519e-02,1.16943345e-02
0.00000000e+00,5.00000000e-01,5.71428571e-01,7.54791364e-02,1.03458948e-02
0.00000000e+00,5.00000000e-01,6.42857143e-01,7.64816377e-02,1.04652684e-02
0.00000000e+00,5.00000000e-01,7.14285714e-01,7.58215631e-02,7.51928561e-03
0.00000000e+00,5.00000000e-01,7.85714286e-01,7.56405427e-02,9.34033491e-03
0.00000000e+00,5.00000000e-01,8.57142857e-01,7.61765792e-02,1.01459841e-02
0.00000000e+00,5.00000000e-01,9.28571429e-01,7.59827592e-02,1.52742140e-02
0.00000000e+00,5.00000000e-01,1.00000000e+00,7.51320950e-02,1.51272521e-02
0.00000000e+00,5.71428571e-01,0.00000000e+00,7.48819347e-02,8.79840196e-03
0.00000000e+00,5.71428571e-01,7.14285714e-02,7.47070230e-02,1.37392885e-02
