x,y,z,phi_pg,di
0.00000000e+00,0.00000000e+00,0.00000000e+00,5.57666159e-03,5.99625965e-03
0.00000000e+00,0.00000000e+00,7.14285714e-02,5.57666159e-03,7.92930168e-03
0.00000000e+00,0.00000000e+00,1.42857143e-01,5.57666159e-03,7.43305459e-03
0.00000000e+00,0.00000000e+00,2.14285714e-01,5.57666159e-03,6.69818841e-03
0.00000000e+00,0.00000000e+00,2.85714286e-01,5.57666159e-03,5.73566801e-03
0.00000000e+00,0.00000000e+00,3.57142857e-01,5.57666159e-03,7.11012372e-03
0.00000000e+00,0.00000000e+00,4.28571429e-01,5.57666159e-03,7.66459997e-03
0.00000000e+00,0.00000000e+00,5.00000000e-01,5.57666159e-03,1.18149239e-02
0.00000000e+00,0.00000000e+00,5.71428571e-01,5.57666159e-03,5.66068678e-03
0.00000000e+00,0.00000000e+00,6.42857143e-01,5.57666159e-03,6.17088110e-03
0.00000000e+00,0.00000000e+00,7.14285714e-01,5.57666159e-03,8.61759258e-03
0.00000000e+00,0.00000000e+00,7.85714286e-01,5.57666159e-03,7.69112781e-03
0.00000000e+00,0.00000000e+00,8.57142857e-01,5.57666159e-03,6.06005002e-03
0.00000000e+00,0.00000000e+00,9.28571429e-01,5.57666159e-03,6.53467992e-03
0.00000000e+00,0.00000000e+00,1.00000000e+00,5.57666159e-03,6.54072378e-03
0.00000000e+00,7.14285714e-02,0.00000000e+00,5.57666159e-03,4.38407395e-03
0.00000000e+00,7.14285714e-02,7.14285714e-02,5.57666159e-03,5.13524445e-03
0.00000000e+00,7.14285714e-02,1.42857143e-01,5.57666159e-03,4.78657652e-03
0.00000000e+00,7.14285714e-02,2.14285714e-01,5.57666159e-03,6.46983714e-03
0.00000000e+00,7.14285714e-02,2.85714286e-01,5.57666159e-03,8.39289438e-03
0.00000000e+00,7.14285714e-02,3.57142857e-01,5.57666159e-03,7.92870500e-03
0.00000000e+00,7.14285714e-02,4.28571429e-01,5.57666159e-03,5.10877860e-03
0.00000000e+00,7.14285714e-02,5.00000000e-01,5.57666159e-03,7.91060463e-03
