parameter,true_value,posterior_mean,error,error_percent
a11,0.8,1.3296441605789502,0.5296441605789501,66.20552006409308
a12,2.0,1.5927783247621898,-0.40722167523781017,-20.361083760872454
a22,1.0,1.0980508775408484,0.0980508775408484,9.805087753104333
b1,0.1,1.5226765089654444,1.4226765089654443,1422.676507542768
b2,0.2,1.3132396240947313,1.1132396240947313,556.6198117690557
a33,1.5,1.2294035057780914,-0.27059649422190857,-18.039766280257922
a34,1.0,1.504443198178188,0.5044431981781881,50.444319812774374
a44,2.0,1.4662038593476567,-0.5337961406523433,-26.689807031282673
b3,0.3,1.415317118276444,1.1153171182764439,371.7723726348905
b4,0.4,1.3935224538933975,0.9935224538933974,248.3806134112542
a13,2.0,1.2499956162937471,-0.7500043837062529,-37.500219183437636
a14,1.0,1.7417596088570289,0.7417596088570289,74.1759608782853
a23,2.0,1.7211955542470465,-0.2788044457529535,-13.940222286950664
a24,1.0,1.4531873284498205,0.45318732844982046,45.31873284045017
