label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
22460,-39.479221,-65.203529,23.88916,3.9843115e-07,4.5491709e-07,2.1253197e-07,6.4098891e-07,BULK,BULK
22461,-39.934563,-65.425224,24.018238,1.265259e-06,7.1642899e-07,5.5055551e-07,1.5547547e-06,BULK,BULK
22462,-39.703285,-65.45752,23.553793,1.3412333e-06,7.0884067e-07,6.3253276e-07,1.6436118e-06,BULK,BULK
22463,-34.999371,-63.454506,35.136108,-9.0799156e-05,-3.5980425e-05,-2.4942346e-05,0.00010080277,BULK,BULK
22464,-34.920147,-63.522182,34.633732,-8.5459476e-05,-5.5683522e-05,-2.1842035e-05,0.00010431228,BULK,BULK
22465,-37.714455,-63.471584,27.433474,-1.1547877e-05,6.1665378e-06,3.8821763e-06,1.3654704e-05,BULK,BULK
22466,-38.406578,-58.123199,31.361988,-8.9495697e-06,-9.6455122e-05,2.516494e-05,0.00010008476,BULK,BULK
22467,-40.745724,-65.107414,22.607635,4.1975956e-05,-4.4727865e-05,2.9731866e-05,6.8165583e-05,BULK,BULK
22468,-39.708843,-65.612228,37.335911,1.7269051e-05,-1.6339625e-05,-8.9504247e-05,9.2607849e-05,BULK,BULK
22469,-39.26712,-65.575043,37.460625,1.8631279e-05,-1.4652399e-05,-9.2472583e-05,9.5462013e-05,BULK,BULK
22470,-39.505375,-65.198936,37.284538,2.1624155e-05,-1.2763026e-05,-9.0200985e-05,9.3630746e-05,BULK,BULK
22471,-40.692093,-68.195801,28.736395,4.1153689e-05,-3.7934529e-05,1.8081129e-05,5.8818211e-05,BULK,BULK
22472,-40.357655,-68.401627,28.525843,1.9732504e-05,-1.7237848e-05,8.5770325e-06,2.7569559e-05,BULK,BULK
22473,-41.882317,-61.167545,37.372471,1.6877318e-06,-5.1454822e-06,-2.5899267e-06,6.0026782e-06,BULK,BULK
22474,-42.250622,-61.333775,37.078217,1.759509e-06,-3.6547624e-06,-1.7693502e-06,4.4253543e-06,BULK,BULK
22475,-36.089272,-60.501713,28.561108,-1.2246695e-05,-7.3754374e-05,-3.1096974e-06,7.4828868e-05,BULK,BULK
22476,-36.139866,-60.049995,28.579538,-8.0506215e-05,-8.4320745e-05,-3.3381614e-06,0.00011662925,BULK,BULK
22477,-43.566013,-58.583637,34.832699,4.8458649e-05,-8.2253529e-05,1.0724618e-05,9.606717e-05,BULK,BULK
22478,-41.984432,-68.624779,37.130234,1.5116125e-07,-1.1418249e-06,-3.9195274e-06,4.0852551e-06,BULK,BULK
22479,-42.274246,-68.389992,37.387737,1.2824761e-06,-1.4747297e-05,-8.3853265e-06,1.7012972e-05,BULK,BULK
22480,-42.434734,-68.666656,37.070835,-5.7605183e-07,7.701754e-07,-4.729874e-06,4.826667e-06,BULK,BULK
22481,-37.60157,-59.608543,24.694431,9.4981797e-06,-9.8545832e-05,3.6208443e-05,0.00010541607,BULK,BULK
22482,-33.948624,-67.120827,22.807163,-7.179605e-05,-9.1685419e-05,2.829929e-05,0.00011984047,BULK,BULK
22483,-33.867962,-67.543175,22.653572,-7.8958628e-06,-6.7555353e-05,3.9388127e-05,7.8597041e-05,BULK,BULK
22484,-33.954441,-67.17173,22.350325,-7.5931304e-05,-8.2041552e-05,3.6571393e-05,0.00011761737,BULK,BULK
22485,-36.907562,-69.938499,24.059948,5.1485114e-07,1.6797102e-07,2.4912165e-07,5.9611036e-07,BULK,BULK
22486,-36.581882,-69.793556,24.353966,1.9663966e-07,1.1029602e-07,9.9824376e-08,2.4657103e-07,BULK,BULK
22487,-36.079105,-61.554249,27.267405,-2.7642277e-06,-7.9877809e-06,9.0483013e-08,8.4530341e-06,BULK,BULK
22488,-36.550301,-64.202095,26.923243,-3.8192197e-06,-7.6898446e-05,6.3405649e-05,9.9740833e-05,BULK,BULK
22489,-45.312424,-59.490631,35.380699,6.1711711e-05,-8.2793071e-05,-1.0455868e-05,0.00010378995,BULK,BULK
22490,-36.123863,-61.459278,29.287054,-3.8747507e-06,-1.6092188e-06,-1.6072559e-05,1.6611154e-05,BULK,BULK
22491,-36.127876,-61.18132,29.632883,-1.1691761e-05,-2.9409225e-06,-2.9043042e-05,3.1445899e-05,BULK,BULK
22492,-41.155018,-62.939762,36.575348,4.4005446e-06,1.1983218e-05,1.3752552e-06,1.2839534e-05,BULK,BULK
22493,-40.927746,-66.37056,37.386654,7.3759306e-06,-1.9980209e-05,-9.2687013e-05,9.5102552e-05,BULK,BULK
22494,-41.024212,-66.814735,37.468967,9.4663355e-06,-2.4003621e-05,-9.4242998e-05,9.7711453e-05,BULK,BULK
22495,-36.215527,-59.774033,31.819881,-8.5947024e-05,-4.2420379e-05,1.1128514e-05,9.6489498e-05,BULK,BULK
22496,-36.080502,-60.222092,31.838547,-8.7411732e-05,-3.3461169e-05,1.1263862e-05,9.4272665e-05,BULK,BULK
22497,-36.206821,-59.978409,31.447588,-8.6609063e-05,-3.8363931e-05,9.6908452e-06,9.5219922e-05,BULK,BULK
22498,-33.940056,-67.228043,24.387953,-7.026817e-06,-6.0324426e-05,1.5945445e-05,6.2790682e-05,BULK,BULK
22499,-33.949184,-67.17308,24.857569,-5.4511329e-06,-4.5718913e-05,2.1984015e-05,5.1021865e-05,BULK,BULK
22500,-34.004082,-67.619385,24.689877,-4.4986473e-06,-1.7175624e-05,6.884808e-06,1.9043121e-05,BULK,BULK
