label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
49299,-35.650433,-61.469452,21.049276,-4.8138794e-05,-7.3028285e-05,4.1212734e-05,9.6690037e-05,T30,OUTER
49300,-35.758389,-61.673756,20.647205,-4.2043393e-05,-7.2962401e-05,4.5873116e-05,9.5893178e-05,T30,OUTER
49301,-36.160053,-61.409988,20.825743,-2.7909591e-05,-7.7272853e-05,4.8152247e-05,9.5229607e-05,T30,OUTER
49302,-41.357983,-66.258827,27.461935,5.3410593e-05,2.3459765e-05,4.2697771e-05,7.2292127e-05,T30,OUTER
49303,-41.051624,-66.115311,27.157578,2.1212796e-05,3.9278838e-08,8.6416158e-06,2.2905497e-05,T30,APPROX
49304,-41.162266,-66.402451,27.336287,6.6006076e-05,1.7713672e-05,4.5736913e-05,8.2234065e-05,T30,OUTER
49305,-43.730476,-58.909142,37.179916,5.1454561e-05,-4.9734906e-05,-6.1707025e-05,9.4492803e-05,T30,OUTER
49306,-44.017132,-59.182297,37.184402,4.5001671e-05,-4.9320981e-05,-6.8542147e-05,9.5685607e-05,T30,OUTER
49307,-38.434269,-60.909088,38.6227,-1.9066652e-05,-2.1882757e-05,-9.4290794e-05,9.8656708e-05,T30,OUTER
49308,-38.011047,-61.151264,38.602097,-2.5522786e-05,-2.606069e-05,-9.3907278e-05,0.00010074299,T30,OUTER
49309,-37.956406,-60.680824,38.458344,-3.1415871e-05,-2.8072111e-05,-8.8565081e-05,9.8075348e-05,T30,OUTER
49310,-43.184273,-62.994831,36.743702,2.6609916e-06,-2.5388491e-07,-7.0261427e-05,7.0312257e-05,T30,OUTER
49311,-42.780228,-63.155045,36.768539,5.4902703e-06,-6.8960485e-06,-7.9909281e-05,8.0393979e-05,T30,OUTER
49312,-42.84866,-62.747108,36.761723,-6.3025988e-07,-1.6410422e-06,-1.1370526e-05,1.1505612e-05,T30,APPROX
49313,-37.347374,-59.48291,23.802856,1.2967284e-07,-8.8585002e-05,3.8258913e-05,9.6493854e-05,T30,OUTER
49314,-37.866501,-59.674049,23.647846,1.7836141e-05,-8.5933352e-05,4.0039587e-05,9.6466769e-05,T30,OUTER
