label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
53,-71.383064,-40.160038,30.250698,2.0120305e-37,0,1.5613382e-38,2.0180794e-37,T23,INNER
54,-71.356155,-39.792595,29.936451,2.2866339e-37,-0,2.094612e-38,2.2962074e-37,T23,INNER
55,-71.322632,-40.328022,29.750126,2.3126389e-37,1.217048e-38,0,2.3158391e-37,T23,INNER
56,-70.443573,-42.654003,33.103195,8.5827748e-38,1.1809318e-37,-8.1972877e-38,1.6742746e-37,T23,INNER
57,-70.741364,-42.34549,33.173481,1.208073e-37,1.212485e-37,-8.7581703e-38,1.9226585e-37,T23,INNER
58,-70.736534,-42.580635,32.801414,1.2160415e-37,1.1022014e-37,-5.3205991e-38,1.7253094e-37,T23,INNER
59,-71.352974,-40.811108,34.771965,1.0603953e-37,1.6816628e-37,-8.3682069e-38,2.157011e-37,T23,INNER
60,-70.919777,-40.904877,34.821056,4.3640845e-38,1.5146396e-37,-9.985904e-38,1.8659497e-37,T23,INNER
61,-71.139366,-40.637646,35.185143,5.0453051e-38,1.5448979e-37,-9.7843535e-38,1.8969967e-37,T23,INNER
62,-68.079857,-44.219997,27.425354,-2.0171077e-37,8.7497205e-38,-1.878028e-38,2.2067101e-37,T23,INNER
63,-68.126022,-44.192856,27.910152,-2.0461009e-37,1.0320981e-37,-2.6381333e-38,2.3068058e-37,T23,INNER
64,-68.277428,-44.576363,27.663481,-1.3813525e-37,1.043423e-37,-2.5241208e-38,1.7494508e-37,T23,INNER
65,-71.355927,-39.789982,36.704723,5.9896362e-38,1.6061399e-37,-1.0471798e-37,2.008738e-37,T23,INNER
66,-71.594261,-39.519066,37.013588,1.2103018e-37,1.6400258e-37,-1.690565e-37,2.6481173e-37,T23,INNER
67,-71.798111,-39.684036,36.579601,1.4759903e-37,1.4654204e-37,-1.0042781e-37,2.3096707e-37,T23,INNER
68,-71.266563,-39.440014,28.694145,2.066811e-37,-2.0456082e-38,1.8294008e-38,2.0849508e-37,T23,INNER
69,-71.219231,-39.44125,28.219433,2.0939975e-37,-2.6668932e-38,2.4580199e-38,2.1251747e-37,T23,INNER
70,-71.248901,-39.866055,28.454693,1.7463888e-37,-0,1.3788673e-38,1.7518238e-37,T23,INNER
71,-71.295937,-40.780148,24.264235,2.172414e-37,-4.9316491e-38,3.3845155e-38,2.2532518e-37,T23,INNER
72,-71.324966,-41.28867,24.184347,2.4240777e-37,-1.9686392e-38,2.4872546e-38,2.4447439e-37,T23,INNER
73,-71.365837,-41.040844,24.654741,1.6652063e-37,-1.5397608e-38,1.5463805e-38,1.6794445e-37,T23,INNER
74,-70.983742,-42.708851,31.456997,1.7240743e-37,8.1315416e-38,-2.4584834e-38,1.9220024e-37,T23,INNER
75,-70.937759,-42.657135,31.946514,2.1996879e-37,1.2979252e-37,-4.936418e-38,2.6013303e-37,T23,INNER
76,-71.106613,-42.303093,31.614744,1.5038136e-37,5.1493571e-38,-0,1.5895327e-37,T23,INNER
