label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
53,-71.383064,-40.160038,30.250698,2.0119671e-37,0,1.5612774e-38,2.0180157e-37,T23,INNER
54,-71.356155,-39.792595,29.936451,2.2866409e-37,-0,2.0948835e-38,2.2962168e-37,T23,INNER
55,-71.322632,-40.328022,29.750126,2.3126824e-37,1.2168704e-38,0,2.3158816e-37,T23,INNER
56,-70.443573,-42.654003,33.103195,8.5823617e-38,1.1809021e-37,-8.196906e-38,1.6742138e-37,T23,INNER
57,-70.741364,-42.34549,33.173481,1.2079847e-37,1.2124496e-37,-8.7578251e-38,1.922565e-37,T23,INNER
58,-70.736534,-42.580635,32.801414,1.2159897e-37,1.1021773e-37,-5.3203654e-38,1.7252503e-37,T23,INNER
59,-71.352974,-40.811108,34.771965,1.0603327e-37,1.6815723e-37,-8.3679272e-38,2.1568989e-37,T23,INNER
60,-70.919777,-40.904877,34.821056,4.3642331e-38,1.5145781e-37,-9.985682e-38,1.8658914e-37,T23,INNER
61,-71.139366,-40.637646,35.185143,5.0452927e-38,1.5448246e-37,-9.7842459e-38,1.8969311e-37,T23,INNER
62,-68.079857,-44.219997,27.425354,-2.0170348e-37,8.7498859e-38,-1.878178e-38,2.2066513e-37,T23,INNER
63,-68.126022,-44.192856,27.910152,-2.0460204e-37,1.0321305e-37,-2.638219e-38,2.3067499e-37,T23,INNER
64,-68.277428,-44.576363,27.663481,-1.3812897e-37,1.0434003e-37,-2.5240216e-38,1.7493863e-37,T23,INNER
65,-71.355927,-39.789982,36.704723,5.9894529e-38,1.6059827e-37,-1.0471307e-37,2.0085812e-37,T23,INNER
66,-71.594261,-39.519066,37.013588,1.2101494e-37,1.63985e-37,-1.6904174e-37,2.6478445e-37,T23,INNER
67,-71.798111,-39.684036,36.579601,1.4758632e-37,1.4652631e-37,-1.0042177e-37,2.3094635e-37,T23,INNER
68,-71.266563,-39.440014,28.694145,2.0668229e-37,-2.0462249e-38,1.829616e-38,2.0849705e-37,T23,INNER
69,-71.219231,-39.44125,28.219433,2.0939614e-37,-2.6673915e-38,2.4581494e-38,2.1251469e-37,T23,INNER
70,-71.248901,-39.866055,28.454693,1.7463897e-37,-0,1.3788987e-38,1.751825e-37,T23,INNER
71,-71.295937,-40.780148,24.264235,2.1723451e-37,-4.9318262e-38,3.3845674e-38,2.25319e-37,T23,INNER
72,-71.324966,-41.28867,24.184347,2.4240634e-37,-1.9691845e-38,2.487555e-38,2.4447371e-37,T23,INNER
73,-71.365837,-41.040844,24.654741,1.6651738e-37,-1.5400822e-38,1.5465858e-38,1.6794171e-37,T23,INNER
74,-70.983742,-42.708851,31.456997,1.7240174e-37,8.1315125e-38,-2.4585462e-38,1.9219509e-37,T23,INNER
75,-70.937759,-42.657135,31.946514,2.1996117e-37,1.2979069e-37,-4.9363889e-38,2.6012561e-37,T23,INNER
76,-71.106613,-42.303093,31.614744,1.5037801e-37,5.1495056e-38,-0,1.5895058e-37,T23,INNER
77,-67.857368,-43.318081,29.741508,-1.7211441e-37,8.4882124e-38,-2.3924456e-38,1.9339267e-37,T23,INNER
78,-67.760117,-43.095131,29.378826,-1.5931201e-37,5.6341621e-38,-0,1.6898134e-37,T23,INNER
79,-67.733917,-42.954357,29.732216,-1.0725472e-37,3.290017e-38,-0,1.1218733e-37,T23,INNER
80,-68.01429,-41.128506,24.027121,-2.0959999e-37,-1.5335072e-38,3.7393798e-38,2.1346104e-37,T23,INNER
81,-68.065773,-40.692085,23.841213,-2.1538834e-37,-3.8349321e-38,5.3527937e-38,2.2522888e-37,T23,INNER
82,-67.983025,-40.737244,24.303215,-1.5034107e-37,-1.8003985e-38,2.564291e-38,1.5357129e-37,T23,INNER
83,-67.200691,-39.427647,37.474636,-3.3596517e-38,1.3855786e-37,-1.3413723e-37,1.9575445e-37,T23,INNER
84,-67.566612,-39.586349,37.270691,-1.188832e-38,1.6450454e-37,-1.2092225e-37,2.0451226e-37,T23,INNER
85,-67.146095,-39.675434,37.099472,-3.5758214e-38,1.596287e-37,-9.4753773e-38,1.8904563e-37,T23,INNER
86,-68.845253,-45.095417,27.672514,-6.6016056e-38,1.8548892e-37,-5.0340285e-38,2.0322009e-37,T23,INNER
87,-68.852707,-45.207771,27.174097,-9.3519537e-38,2.6378897e-37,-4.2464066e-38,2.83079e-37,T23,INNER
88,-68.489738,-44.926514,27.434721,-1.2257771e-37,1.3508713e-37,-2.8293174e-38,1.8459234e-37,T23,INNER
89,-66.951836,-39.442989,32.071819,-2.1998065e-37,-0,6.4605173e-38,2.2927127e-37,T23,INNER
90,-66.943596,-40.007324,32.138527,-2.6565989e-37,2.2097594e-38,7.1811535e-38,2.7608038e-37,T23,INNER
