label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
56121,-35.724392,-73.342079,39.654015,-6.6345041e-07,-1.3715146e-06,-1.3199589e-05,1.3287226e-05,BULK,BULK
56122,-38.093025,-79.462685,33.586567,5.0586636e-06,1.1697375e-05,3.0824408e-06,1.3111831e-05,BULK,BULK
56123,-38.216312,-79.519897,34.017284,4.3829541e-06,1.2113533e-05,2.3512487e-06,1.3094897e-05,BULK,BULK
56124,-40.318027,-78.024803,34.206875,9.5776095e-06,7.4802065e-06,5.7836396e-06,1.3458625e-05,BULK,BULK
56125,-35.333771,-70.737282,31.706882,-8.6584313e-09,-1.6652677e-09,-8.2035234e-10,8.8551977e-09,BULK,BULK
56126,-35.543697,-70.915794,31.437977,-5.6698761e-09,-1.2272803e-09,-4.0701911e-10,5.8154429e-09,BULK,BULK
56127,-35.74556,-70.639465,31.8165,-4.5551309e-09,-9.0633023e-10,-2.078463e-10,4.6490701e-09,BULK,BULK
56128,-32.460297,-77.341156,28.172388,-3.879228e-07,2.4880487e-07,-2.5130174e-07,5.2491954e-07,BULK,BULK
56129,-32.894363,-77.348412,28.068216,-3.7944633e-07,3.8684115e-07,4.2583787e-07,6.8917595e-07,BULK,BULK
56130,-34.860512,-77.757568,23.343353,8.1214125e-07,3.692043e-06,-7.9831273e-07,3.8636846e-06,BULK,BULK
56131,-35.202263,-77.879204,23.768581,2.0376074e-06,7.1546942e-06,-2.5848567e-06,7.8754668e-06,BULK,BULK
56132,-35.012486,-77.38633,23.581104,7.5262489e-07,2.2012885e-06,-4.6914229e-07,2.3732277e-06,BULK,BULK
56133,-33.667671,-80.982407,26.299761,1.8216064e-06,5.9691793e-06,-2.0722175e-06,6.5759742e-06,BULK,BULK
56134,-33.792793,-80.560417,26.482744,1.1683632e-06,2.7701358e-06,-5.6741277e-07,3.0595232e-06,BULK,BULK
56135,-31.925858,-79.624023,31.387943,-5.0621579e-06,8.8168417e-06,-7.039494e-06,1.2365946e-05,BULK,BULK
56136,-31.477921,-79.596413,31.184082,-6.3187995e-06,8.1597491e-06,-7.4458444e-06,1.2725931e-05,BULK,BULK
56137,-31.605854,-79.322662,31.580975,-6.6357152e-06,7.8506564e-06,-7.2710777e-06,1.2591032e-05,BULK,BULK
56138,-35.555138,-77.959625,38.608383,-5.2115633e-06,8.6217515e-06,-8.5277516e-06,1.3199149e-05,BULK,BULK
56139,-35.67382,-77.703102,38.954815,-4.8594561e-06,7.4797254e-06,-1.0025226e-05,1.3418859e-05,BULK,BULK
56140,-36.932659,-72.048363,29.866377,5.3143929e-09,2.0775865e-09,3.0152889e-09,6.4537667e-09,BULK,BULK
56141,-42.604347,-72.188126,37.382866,8.0223026e-06,-3.3316983e-06,-1.0532159e-05,1.365225e-05,BULK,BULK
56142,-39.945423,-75.100891,31.161636,1.0007797e-05,5.1720544e-06,5.7415755e-06,1.2644043e-05,BULK,BULK
56143,-37.236115,-75.155159,27.128122,4.16793e-07,6.2814161e-07,-9.0899348e-08,7.5930295e-07,BULK,BULK
56144,-36.850685,-75.231216,26.745064,3.0103527e-07,3.8739256e-07,-2.2499083e-09,4.9061216e-07,BULK,BULK
56145,-31.334661,-82.045166,24.22941,4.3194227e-06,1.0197403e-05,9.1455831e-06,1.4362664e-05,BULK,BULK
56146,-33.964619,-80.780495,30.473127,1.1431393e-06,1.1354263e-05,-5.888764e-06,1.2841479e-05,BULK,BULK
56147,-33.528595,-80.833542,30.383572,4.2964757e-08,1.0977495e-05,-6.5764884e-06,1.2796774e-05,BULK,BULK
56148,-33.638542,-80.601585,30.73704,-3.884964e-07,1.1087355e-05,-6.2825898e-06,1.2749561e-05,BULK,BULK
56149,-34.467228,-80.488235,30.917673,1.3283831e-06,1.1672429e-05,-4.79654e-06,1.2689247e-05,BULK,BULK
56150,-34.8451,-80.4935,30.769577,2.8714339e-06,1.1816213e-05,-3.6890133e-06,1.2707354e-05,BULK,BULK
